Gene	sgRNA	eff
PLA1A	ID_38604	1
PLA1A	ID_38606	1
PLA1A	ID_38605	1
PLA1A	ID_38603	1
WISP3	ID_23155	1
WISP3	ID_23153	1
WISP3	ID_23154	1
WISP3	ID_23156	1
CWH43	ID_50814	1
CWH43	ID_50813	1
CWH43	ID_50811	1
CWH43	ID_50812	1
PRIM1	ID_14753	1
PRIM1	ID_14755	1
PRIM1	ID_14756	1
PRIM1	ID_14754	1
LRRC8D	ID_41704	1
LRRC8D	ID_41703	1
LRRC8D	ID_41705	1
LRRC8D	ID_41706	1
PPP1R14A	ID_56756	1
PPP1R14A	ID_56753	1
PPP1R14A	ID_56754	1
PPP1R14A	ID_56755	1
SSPO	ID_31869	1
SSPO	ID_31867	1
SSPO	ID_31868	1
SSPO	ID_31870	1
ARHGAP30	ID_66863	1
ARHGAP30	ID_66864	1
ARHGAP30	ID_66861	1
ARHGAP30	ID_66862	1
GLDC	ID_7205	1
GLDC	ID_7206	1
GLDC	ID_7207	1
GLDC	ID_7208	1
MAD2L1BP	ID_25301	1
MAD2L1BP	ID_25303	1
MAD2L1BP	ID_25304	1
MAD2L1BP	ID_25302	1
TDP1	ID_43334	1
TDP1	ID_43331	1
TDP1	ID_43333	1
TDP1	ID_43332	1
IL7R	ID_9450	1
IL7R	ID_9452	1
IL7R	ID_9451	1
IL7R	ID_9449	1
DNAH10	ID_64399	1
DNAH10	ID_64398	1
DNAH10	ID_64397	1
DNAH10	ID_64400	1
TAAR5	ID_23660	1
TAAR5	ID_23659	1
TAAR5	ID_23657	1
TAAR5	ID_23658	1
RFTN1	ID_31987	1
RFTN1	ID_31989	1
RFTN1	ID_31990	1
RFTN1	ID_31988	1
HPGD	ID_8797	1
HPGD	ID_8800	1
HPGD	ID_8798	1
HPGD	ID_8799	1
GLUD1	ID_7264	1
GLUD1	ID_7262	1
GLUD1	ID_7263	1
GLUD1	ID_7261	1
TMC2	ID_57978	1
TMC2	ID_57977	1
TMC2	ID_57979	1
TMC2	ID_57980	1
PTPRE	ID_15480	1
PTPRE	ID_15477	1
PTPRE	ID_15478	1
PTPRE	ID_15479	1
RGS14	ID_28756	1
RGS14	ID_28755	1
RGS14	ID_28753	1
RGS14	ID_28754	1
WAC	ID_38503	1
WAC	ID_38505	1
WAC	ID_38504	1
WAC	ID_38506	1
LIMS1	ID_10670	1
LIMS1	ID_10669	1
LIMS1	ID_10671	1
LIMS1	ID_10672	1
DCAF8L1	ID_60713	1
DCAF8L1	ID_60714	1
DCAF8L1	ID_60716	1
DCAF8L1	ID_60715	1
DTD1	ID_56307	1
DTD1	ID_56305	1
DTD1	ID_56306	1
DTD1	ID_56308	1
CACNA1S	ID_2164	1
CACNA1S	ID_2161	1
CACNA1S	ID_2162	1
CACNA1S	ID_2163	1
CCDC28B	ID_48986	1
CCDC28B	ID_48984	1
CCDC28B	ID_48983	1
CCDC28B	ID_48985	1
COPRS	ID_42429	1
COPRS	ID_42430	1
COPRS	ID_42427	1
COPRS	ID_42428	1
SAMD4B	ID_41551	1
SAMD4B	ID_41553	1
SAMD4B	ID_41554	1
SAMD4B	ID_41552	1
controlguide426	ID_76867	1
TSHR	ID_19645	1
TSHR	ID_19646	1
TSHR	ID_19648	1
TSHR	ID_19647	1
AUTS2	ID_34463	1
AUTS2	ID_34465	1
AUTS2	ID_34464	1
AUTS2	ID_34466	1
FRMPD1	ID_30972	1
FRMPD1	ID_30973	1
FRMPD1	ID_30971	1
FRMPD1	ID_30974	1
MAD2L1	ID_10951	1
MAD2L1	ID_10952	1
MAD2L1	ID_10950	1
MAD2L1	ID_10949	1
RAB14	ID_39011	1
RAB14	ID_39012	1
RAB14	ID_39014	1
RAB14	ID_39013	1
ICAM3	ID_9101	1
ICAM3	ID_9104	1
ICAM3	ID_9103	1
ICAM3	ID_9102	1
MYBPC2	ID_11981	1
MYBPC2	ID_11984	1
MYBPC2	ID_11983	1
MYBPC2	ID_11982	1
NIPAL3	ID_45234	1
NIPAL3	ID_45231	1
NIPAL3	ID_45232	1
NIPAL3	ID_45233	1
MAP3K8	ID_3698	1
MAP3K8	ID_3700	1
MAP3K8	ID_3697	1
MAP3K8	ID_3699	1
WDR31	ID_57386	1
WDR31	ID_57385	1
WDR31	ID_57387	1
WDR31	ID_57388	1
LMO1	ID_10713	1
LMO1	ID_10714	1
LMO1	ID_10715	1
LMO1	ID_10716	1
RNF128	ID_49333	1
RNF128	ID_49334	1
RNF128	ID_49332	1
RNF128	ID_49331	1
GLA	ID_7188	1
GLA	ID_7186	1
GLA	ID_7187	1
GLA	ID_7185	1
controlguide554	ID_76995	1
LINC01272	ID_75875	1
LINC01272	ID_75874	1
LINC01272	ID_75877	1
LINC01272	ID_75876	1
POTEM	ID_73660	1
POTEM	ID_73658	1
POTEM	ID_73661	1
POTEM	ID_73659	1
controlguide212	ID_76653	1
DPYSL5	ID_44497	1
DPYSL5	ID_44495	1
DPYSL5	ID_44498	1
DPYSL5	ID_44496	1
TARSL2	ID_58613	1
TARSL2	ID_58614	1
TARSL2	ID_58616	1
TARSL2	ID_58615	1
ATG2A	ID_31813	1
ATG2A	ID_31814	1
ATG2A	ID_31811	1
ATG2A	ID_31812	1
controlguide650	ID_77091	1
controlguide114	ID_76555	1
SFPQ	ID_17170	1
SFPQ	ID_17171	1
SFPQ	ID_17172	1
SFPQ	ID_17169	1
IFNA1	ID_9204	1
IFNA1	ID_9202	1
IFNA1	ID_9203	1
IFNA1	ID_9201	1
ASB5	ID_60800	1
ASB5	ID_60797	1
ASB5	ID_60799	1
ASB5	ID_60798	1
C1orf168	ID_64612	1
C1orf168	ID_64609	1
C1orf168	ID_64610	1
C1orf168	ID_64611	1
RUNX2	ID_2397	1
RUNX2	ID_2400	1
RUNX2	ID_2398	1
RUNX2	ID_2399	1
controlguide452	ID_76893	1
LOC388849	ID_71205	1
LOC388849	ID_71206	1
LOC388849	ID_71207	1
LOC388849	ID_71208	1
PLCXD2	ID_66854	1
PLCXD2	ID_66853	1
PLCXD2	ID_66856	1
PLCXD2	ID_66855	1
PRCC	ID_14717	1
PRCC	ID_14719	1
PRCC	ID_14720	1
PRCC	ID_14718	1
MZT2B	ID_50694	1
MZT2B	ID_50692	1
MZT2B	ID_50693	1
MZT2B	ID_50691	1
PLEKHA2	ID_46778	1
PLEKHA2	ID_46776	1
PLEKHA2	ID_46775	1
PLEKHA2	ID_46777	1
C8orf59	ID_72441	1
C8orf59	ID_72442	1
C8orf59	ID_72443	1
C8orf59	ID_72444	1
MTHFD2L	ID_73044	1
MTHFD2L	ID_73043	1
MTHFD2L	ID_73041	1
MTHFD2L	ID_73042	1
ALKBH6	ID_54634	1
ALKBH6	ID_54633	1
ALKBH6	ID_54631	1
ALKBH6	ID_54632	1
MFHAS1	ID_24329	1
MFHAS1	ID_24330	1
MFHAS1	ID_24332	1
MFHAS1	ID_24331	1
GMNC	ID_74195	1
GMNC	ID_74196	1
GMNC	ID_74197	1
GMNC	ID_74194	1
CLDN3	ID_3793	1
CLDN3	ID_3795	1
CLDN3	ID_3796	1
CLDN3	ID_3794	1
ZNF816-ZNF321P	ID_76118	1
ZNF816-ZNF321P	ID_76121	1
ZNF816-ZNF321P	ID_76119	1
ZNF816-ZNF321P	ID_76120	1
THBS2	ID_19142	1
THBS2	ID_19144	1
THBS2	ID_19143	1
THBS2	ID_19141	1
controlguide828	ID_77269	1
TMED1	ID_29865	1
TMED1	ID_29866	1
TMED1	ID_29863	1
TMED1	ID_29864	1
SHMT1	ID_17318	1
SHMT1	ID_17317	1
SHMT1	ID_17319	1
SHMT1	ID_17320	1
controlguide769	ID_77210	1
ABHD4	ID_47052	1
ABHD4	ID_47051	1
ABHD4	ID_47054	1
ABHD4	ID_47053	1
HYKK	ID_58636	1
HYKK	ID_58633	1
HYKK	ID_58634	1
HYKK	ID_58635	1
DRG2	ID_5051	1
DRG2	ID_5050	1
DRG2	ID_5052	1
DRG2	ID_5049	1
RNF7	ID_25372	1
RNF7	ID_25371	1
RNF7	ID_25370	1
RNF7	ID_25369	1
ONECUT3	ID_71860	1
ONECUT3	ID_71859	1
ONECUT3	ID_71857	1
ONECUT3	ID_71858	1
TAF7	ID_18659	1
TAF7	ID_18660	1
TAF7	ID_18658	1
TAF7	ID_18657	1
STIM1	ID_18393	1
STIM1	ID_18395	1
STIM1	ID_18396	1
STIM1	ID_18394	1
PRR29	ID_56212	1
PRR29	ID_56211	1
PRR29	ID_56210	1
PRR29	ID_56209	1
RPL22L1	ID_64791	1
RPL22L1	ID_64790	1
RPL22L1	ID_64789	1
RPL22L1	ID_64792	1
C7orf25	ID_48730	1
C7orf25	ID_48729	1
C7orf25	ID_48727	1
C7orf25	ID_48728	1
CLEC1B	ID_38297	1
CLEC1B	ID_38295	1
CLEC1B	ID_38296	1
CLEC1B	ID_38298	1
controlguide203	ID_76644	1
TBXA2R	ID_18781	1
TBXA2R	ID_18784	1
TBXA2R	ID_18782	1
TBXA2R	ID_18783	1
PTPRH	ID_15491	1
PTPRH	ID_15490	1
PTPRH	ID_15492	1
PTPRH	ID_15489	1
CNGB3	ID_40428	1
CNGB3	ID_40430	1
CNGB3	ID_40427	1
CNGB3	ID_40429	1
CLEC4M	ID_27788	1
CLEC4M	ID_27786	1
CLEC4M	ID_27785	1
CLEC4M	ID_27787	1
SPARCL1	ID_21847	1
SPARCL1	ID_21846	1
SPARCL1	ID_21845	1
SPARCL1	ID_21848	1
ATP4B	ID_1398	1
ATP4B	ID_1400	1
ATP4B	ID_1397	1
ATP4B	ID_1399	1
CADM3	ID_46479	1
CADM3	ID_46482	1
CADM3	ID_46480	1
CADM3	ID_46481	1
P2RX4	ID_13181	1
P2RX4	ID_13183	1
P2RX4	ID_13182	1
P2RX4	ID_13184	1
LUZP1	ID_20924	1
LUZP1	ID_20921	1
LUZP1	ID_20923	1
LUZP1	ID_20922	1
HBZ	ID_8222	1
HBZ	ID_8224	1
HBZ	ID_8223	1
HBZ	ID_8221	1
KRT17	ID_10372	1
KRT17	ID_10370	1
KRT17	ID_10371	1
KRT17	ID_10369	1
HTR1F	ID_9030	1
HTR1F	ID_9032	1
HTR1F	ID_9029	1
HTR1F	ID_9031	1
HEMK1	ID_38709	1
HEMK1	ID_38710	1
HEMK1	ID_38708	1
HEMK1	ID_38707	1
THEG	ID_38410	1
THEG	ID_38409	1
THEG	ID_38407	1
THEG	ID_38408	1
YIPF3	ID_33890	1
YIPF3	ID_33887	1
YIPF3	ID_33888	1
YIPF3	ID_33889	1
DPPA5	ID_69110	1
DPPA5	ID_69111	1
DPPA5	ID_69112	1
DPPA5	ID_69109	1
NEK4	ID_18397	1
NEK4	ID_18399	1
NEK4	ID_18400	1
NEK4	ID_18398	1
THEMIS2	ID_24942	1
THEMIS2	ID_24943	1
THEMIS2	ID_24941	1
THEMIS2	ID_24944	1
DUSP28	ID_68057	1
DUSP28	ID_68058	1
DUSP28	ID_68059	1
DUSP28	ID_68060	1
TNS2	ID_32611	1
TNS2	ID_32614	1
TNS2	ID_32612	1
TNS2	ID_32613	1
C15orf59	ID_70939	1
C15orf59	ID_70937	1
C15orf59	ID_70938	1
C15orf59	ID_70940	1
AMT	ID_758	1
AMT	ID_759	1
AMT	ID_757	1
AMT	ID_760	1
S100A9	ID_16747	1
S100A9	ID_16745	1
S100A9	ID_16748	1
S100A9	ID_16746	1
CHCHD10	ID_72304	1
CHCHD10	ID_72301	1
CHCHD10	ID_72303	1
CHCHD10	ID_72302	1
PRPF39	ID_41327	1
PRPF39	ID_41328	1
PRPF39	ID_41329	1
PRPF39	ID_41330	1
OLFM4	ID_28500	1
OLFM4	ID_28497	1
OLFM4	ID_28498	1
OLFM4	ID_28499	1
LRRC27	ID_51098	1
LRRC27	ID_51096	1
LRRC27	ID_51095	1
LRRC27	ID_51097	1
RNF183	ID_60549	1
RNF183	ID_60550	1
RNF183	ID_60552	1
RNF183	ID_60551	1
DCAF12L1	ID_60668	1
DCAF12L1	ID_60666	1
DCAF12L1	ID_60667	1
DCAF12L1	ID_60665	1
PCDHB12	ID_43961	1
PCDHB12	ID_43959	1
PCDHB12	ID_43962	1
PCDHB12	ID_43960	1
FMO1	ID_6487	1
FMO1	ID_6485	1
FMO1	ID_6486	1
FMO1	ID_6488	1
CYSRT1	ID_70567	1
CYSRT1	ID_70565	1
CYSRT1	ID_70568	1
CYSRT1	ID_70566	1
TET3	ID_64717	1
TET3	ID_64718	1
TET3	ID_64719	1
TET3	ID_64720	1
OGN	ID_13023	1
OGN	ID_13021	1
OGN	ID_13024	1
OGN	ID_13022	1
GPR132	ID_36826	1
GPR132	ID_36825	1
GPR132	ID_36824	1
GPR132	ID_36823	1
OTOGL	ID_67305	1
OTOGL	ID_67306	1
OTOGL	ID_67307	1
OTOGL	ID_67308	1
CELA2B	ID_37604	1
CELA2B	ID_37606	1
CELA2B	ID_37603	1
CELA2B	ID_37605	1
FUBP1	ID_23282	1
FUBP1	ID_23281	1
FUBP1	ID_23283	1
FUBP1	ID_23284	1
ZNF419	ID_49820	1
ZNF419	ID_49819	1
ZNF419	ID_49822	1
ZNF419	ID_49821	1
CHRNB3	ID_3249	1
CHRNB3	ID_3250	1
CHRNB3	ID_3251	1
CHRNB3	ID_3252	1
SH3BGR	ID_17272	1
SH3BGR	ID_17269	1
SH3BGR	ID_17270	1
SH3BGR	ID_17271	1
PCMTD2	ID_42084	1
PCMTD2	ID_42085	1
PCMTD2	ID_42083	1
PCMTD2	ID_42086	1
ZFP91	ID_51405	1
ZFP91	ID_51406	1
ZFP91	ID_51404	1
ZFP91	ID_51403	1
INTS10	ID_41808	1
INTS10	ID_41810	1
INTS10	ID_41807	1
INTS10	ID_41809	1
ETV7	ID_38916	1
ETV7	ID_38918	1
ETV7	ID_38915	1
ETV7	ID_38917	1
SEMA3F	ID_17139	1
SEMA3F	ID_17138	1
SEMA3F	ID_17137	1
SEMA3F	ID_17140	1
PTBP3	ID_26666	1
PTBP3	ID_26667	1
PTBP3	ID_26668	1
PTBP3	ID_26665	1
ACOT2	ID_29700	1
ACOT2	ID_29701	1
ACOT2	ID_29699	1
ACOT2	ID_29702	1
TAOK1	ID_45814	1
TAOK1	ID_45811	1
TAOK1	ID_45812	1
TAOK1	ID_45813	1
MARVELD2	ID_62794	1
MARVELD2	ID_62793	1
MARVELD2	ID_62795	1
MARVELD2	ID_62796	1
CYP2S1	ID_36615	1
CYP2S1	ID_36617	1
CYP2S1	ID_36616	1
CYP2S1	ID_36618	1
MAPK15	ID_66099	1
MAPK15	ID_66100	1
MAPK15	ID_66098	1
MAPK15	ID_66097	1
BIN2	ID_38712	1
BIN2	ID_38713	1
BIN2	ID_38714	1
BIN2	ID_38711	1
PAQR9	ID_69641	1
PAQR9	ID_69643	1
PAQR9	ID_69644	1
PAQR9	ID_69642	1
ZNF428	ID_59102	1
ZNF428	ID_59103	1
ZNF428	ID_59101	1
ZNF428	ID_59104	1
RARB	ID_15836	1
RARB	ID_15834	1
RARB	ID_15835	1
RARB	ID_15833	1
ASXL3	ID_51377	1
ASXL3	ID_51376	1
ASXL3	ID_51375	1
ASXL3	ID_51378	1
MIPOL1	ID_61407	1
MIPOL1	ID_61405	1
MIPOL1	ID_61406	1
MIPOL1	ID_61408	1
KRT86	ID_10427	1
KRT86	ID_10426	1
KRT86	ID_10425	1
KRT86	ID_10428	1
KYNU	ID_23475	1
KYNU	ID_23474	1
KYNU	ID_23473	1
KYNU	ID_23476	1
controlguide6	ID_76447	1
SDC1	ID_17062	1
SDC1	ID_17064	1
SDC1	ID_17061	1
SDC1	ID_17063	1
CHML	ID_3183	1
CHML	ID_3181	1
CHML	ID_3182	1
CHML	ID_3184	1
ATP5J	ID_1448	1
ATP5J	ID_1447	1
ATP5J	ID_1446	1
ATP5J	ID_1445	1
OXSR1	ID_26520	1
OXSR1	ID_26518	1
OXSR1	ID_26517	1
OXSR1	ID_26519	1
PITX2	ID_14032	1
PITX2	ID_14029	1
PITX2	ID_14031	1
PITX2	ID_14030	1
SNAP29	ID_24541	1
SNAP29	ID_24544	1
SNAP29	ID_24542	1
SNAP29	ID_24543	1
controlguide136	ID_76577	1
IGSF9B	ID_31416	1
IGSF9B	ID_31418	1
IGSF9B	ID_31417	1
IGSF9B	ID_31415	1
HNRNPA1L2	ID_61382	1
HNRNPA1L2	ID_61381	1
HNRNPA1L2	ID_61384	1
HNRNPA1L2	ID_61383	1
MYOCD	ID_56577	1
MYOCD	ID_56580	1
MYOCD	ID_56578	1
MYOCD	ID_56579	1
EDDM3B	ID_47512	1
EDDM3B	ID_47514	1
EDDM3B	ID_47511	1
EDDM3B	ID_47513	1
POMK	ID_53106	1
POMK	ID_53104	1
POMK	ID_53105	1
POMK	ID_53103	1
HADHB	ID_8160	1
HADHB	ID_8158	1
HADHB	ID_8157	1
HADHB	ID_8159	1
NXPH4	ID_30586	1
NXPH4	ID_30583	1
NXPH4	ID_30585	1
NXPH4	ID_30584	1
AMOTL2	ID_38721	1
AMOTL2	ID_38719	1
AMOTL2	ID_38720	1
AMOTL2	ID_38722	1
FOS	ID_6548	1
FOS	ID_6545	1
FOS	ID_6546	1
FOS	ID_6547	1
ERN1	ID_5785	1
ERN1	ID_5787	1
ERN1	ID_5786	1
ERN1	ID_5788	1
TMEM184C	ID_43247	1
TMEM184C	ID_43250	1
TMEM184C	ID_43249	1
TMEM184C	ID_43248	1
ZNF512B	ID_45562	1
ZNF512B	ID_45561	1
ZNF512B	ID_45560	1
ZNF512B	ID_45559	1
controlguide456	ID_76897	1
ZNF683	ID_66857	1
ZNF683	ID_66859	1
ZNF683	ID_66858	1
ZNF683	ID_66860	1
LSM14B	ID_62243	1
LSM14B	ID_62244	1
LSM14B	ID_62242	1
LSM14B	ID_62241	1
TRIM68	ID_41651	1
TRIM68	ID_41652	1
TRIM68	ID_41654	1
TRIM68	ID_41653	1
NUTM2G	ID_73128	1
NUTM2G	ID_73125	1
NUTM2G	ID_73126	1
NUTM2G	ID_73127	1
KIAA1468	ID_46025	1
KIAA1468	ID_46023	1
KIAA1468	ID_46024	1
KIAA1468	ID_46026	1
OR2AT4	ID_69289	1
OR2AT4	ID_69290	1
OR2AT4	ID_69292	1
OR2AT4	ID_69291	1
THEG5	ID_75975	1
THEG5	ID_75977	1
THEG5	ID_75974	1
THEG5	ID_75976	1
SMYD3	ID_47953	1
SMYD3	ID_47954	1
SMYD3	ID_47952	1
SMYD3	ID_47951	1
TMPRSS3	ID_47895	1
TMPRSS3	ID_47898	1
TMPRSS3	ID_47897	1
TMPRSS3	ID_47896	1
CST4	ID_4135	1
CST4	ID_4134	1
CST4	ID_4133	1
CST4	ID_4136	1
DECR2	ID_34497	1
DECR2	ID_34496	1
DECR2	ID_34495	1
DECR2	ID_34498	1
TMEM95	ID_68859	1
TMEM95	ID_68860	1
TMEM95	ID_68857	1
TMEM95	ID_68858	1
KCNIP3	ID_37091	1
KCNIP3	ID_37093	1
KCNIP3	ID_37094	1
KCNIP3	ID_37092	1
ZNF770	ID_41246	1
ZNF770	ID_41245	1
ZNF770	ID_41244	1
ZNF770	ID_41243	1
SCAMP4	ID_56946	1
SCAMP4	ID_56948	1
SCAMP4	ID_56945	1
SCAMP4	ID_56947	1
TRMT112	ID_38896	1
TRMT112	ID_38898	1
TRMT112	ID_38897	1
TRMT112	ID_38895	1
TMIGD3	ID_45446	1
TMIGD3	ID_45445	1
TMIGD3	ID_45444	1
TMIGD3	ID_45443	1
HIST1H2AG	ID_23490	1
HIST1H2AG	ID_23492	1
HIST1H2AG	ID_23491	1
HIST1H2AG	ID_23489	1
THUMPD3	ID_34079	1
THUMPD3	ID_34080	1
THUMPD3	ID_34082	1
THUMPD3	ID_34081	1
SLBP	ID_21052	1
SLBP	ID_21050	1
SLBP	ID_21051	1
SLBP	ID_21049	1
FAM60A	ID_46655	1
FAM60A	ID_46656	1
FAM60A	ID_46658	1
FAM60A	ID_46657	1
LECT1	ID_29988	1
LECT1	ID_29989	1
LECT1	ID_29987	1
LECT1	ID_29990	1
CCNE1	ID_2498	1
CCNE1	ID_2499	1
CCNE1	ID_2497	1
CCNE1	ID_2500	1
CABS1	ID_54915	1
CABS1	ID_54918	1
CABS1	ID_54916	1
CABS1	ID_54917	1
CNDP2	ID_43236	1
CNDP2	ID_43235	1
CNDP2	ID_43238	1
CNDP2	ID_43237	1
AK7	ID_58470	1
AK7	ID_58471	1
AK7	ID_58472	1
AK7	ID_58469	1
RHOBTB1	ID_26310	1
RHOBTB1	ID_26312	1
RHOBTB1	ID_26311	1
RHOBTB1	ID_26309	1
NOSIP	ID_37690	1
NOSIP	ID_37688	1
NOSIP	ID_37689	1
NOSIP	ID_37687	1
ZNF141	ID_20690	1
ZNF141	ID_20691	1
ZNF141	ID_20692	1
ZNF141	ID_20689	1
MRPS18A	ID_41790	1
MRPS18A	ID_41788	1
MRPS18A	ID_41789	1
MRPS18A	ID_41787	1
KRT36	ID_22689	1
KRT36	ID_22692	1
KRT36	ID_22691	1
KRT36	ID_22690	1
CORO6	ID_54554	1
CORO6	ID_54553	1
CORO6	ID_54552	1
CORO6	ID_54551	1
SCARA3	ID_38755	1
SCARA3	ID_38757	1
SCARA3	ID_38756	1
SCARA3	ID_38758	1
PLEKHG2	ID_48191	1
PLEKHG2	ID_48193	1
PLEKHG2	ID_48192	1
PLEKHG2	ID_48194	1
ARHGAP33	ID_57538	1
ARHGAP33	ID_57537	1
ARHGAP33	ID_57539	1
ARHGAP33	ID_57540	1
CDH24	ID_47715	1
CDH24	ID_47718	1
CDH24	ID_47716	1
CDH24	ID_47717	1
SPIN1	ID_29572	1
SPIN1	ID_29573	1
SPIN1	ID_29574	1
SPIN1	ID_29571	1
SHB	ID_17297	1
SHB	ID_17299	1
SHB	ID_17298	1
SHB	ID_17300	1
RWDD3	ID_34180	1
RWDD3	ID_34181	1
RWDD3	ID_34182	1
RWDD3	ID_34179	1
ZNF384	ID_64253	1
ZNF384	ID_64255	1
ZNF384	ID_64256	1
ZNF384	ID_64254	1
SLC25A31	ID_52113	1
SLC25A31	ID_52114	1
SLC25A31	ID_52111	1
SLC25A31	ID_52112	1
controlguide7	ID_76448	1
RBM12	ID_27127	1
RBM12	ID_27128	1
RBM12	ID_27126	1
RBM12	ID_27125	1
SLC50A1	ID_43819	1
SLC50A1	ID_43822	1
SLC50A1	ID_43820	1
SLC50A1	ID_43821	1
C9orf89	ID_53291	1
C9orf89	ID_53292	1
C9orf89	ID_53294	1
C9orf89	ID_53293	1
BID	ID_1725	1
BID	ID_1726	1
BID	ID_1728	1
BID	ID_1727	1
C11orf88	ID_72159	1
C11orf88	ID_72160	1
C11orf88	ID_72158	1
C11orf88	ID_72157	1
RABIF	ID_15697	1
RABIF	ID_15700	1
RABIF	ID_15698	1
RABIF	ID_15699	1
STARD6	ID_61761	1
STARD6	ID_61763	1
STARD6	ID_61762	1
STARD6	ID_61764	1
AGL	ID_502	1
AGL	ID_504	1
AGL	ID_503	1
AGL	ID_501	1
MS4A15	ID_65518	1
MS4A15	ID_65519	1
MS4A15	ID_65520	1
MS4A15	ID_65517	1
ITPKC	ID_51036	1
ITPKC	ID_51038	1
ITPKC	ID_51037	1
ITPKC	ID_51035	1
ITGB1BP2	ID_35168	1
ITGB1BP2	ID_35170	1
ITGB1BP2	ID_35167	1
ITGB1BP2	ID_35169	1
HIRIP3	ID_22049	1
HIRIP3	ID_22052	1
HIRIP3	ID_22051	1
HIRIP3	ID_22050	1
controlguide965	ID_77406	1
AKR1A1	ID_27768	1
AKR1A1	ID_27767	1
AKR1A1	ID_27766	1
AKR1A1	ID_27765	1
SYNE1	ID_32522	1
SYNE1	ID_32521	1
SYNE1	ID_32519	1
SYNE1	ID_32520	1
controlguide515	ID_76956	1
SYTL1	ID_54612	1
SYTL1	ID_54614	1
SYTL1	ID_54611	1
SYTL1	ID_54613	1
S100A4	ID_16725	1
S100A4	ID_16727	1
S100A4	ID_16728	1
S100A4	ID_16726	1
GDF15	ID_25080	1
GDF15	ID_25077	1
GDF15	ID_25078	1
GDF15	ID_25079	1
IRAK2	ID_9691	1
IRAK2	ID_9690	1
IRAK2	ID_9689	1
IRAK2	ID_9692	1
SOS2	ID_17967	1
SOS2	ID_17965	1
SOS2	ID_17966	1
SOS2	ID_17968	1
ZNF680	ID_69122	1
ZNF680	ID_69124	1
ZNF680	ID_69123	1
ZNF680	ID_69121	1
PGPEP1L	ID_61482	1
PGPEP1L	ID_61481	1
PGPEP1L	ID_61484	1
PGPEP1L	ID_61483	1
UNKL	ID_47916	1
UNKL	ID_47915	1
UNKL	ID_47917	1
UNKL	ID_47918	1
IFNA5	ID_9213	1
IFNA5	ID_9216	1
IFNA5	ID_9214	1
IFNA5	ID_9215	1
ABCA7	ID_27821	1
ABCA7	ID_27823	1
ABCA7	ID_27822	1
ABCA7	ID_27824	1
LIN28B	ID_71389	1
LIN28B	ID_71391	1
LIN28B	ID_71390	1
LIN28B	ID_71392	1
PRKACA	ID_14780	1
PRKACA	ID_14777	1
PRKACA	ID_14779	1
PRKACA	ID_14778	1
IFITM2	ID_28569	1
IFITM2	ID_28570	1
IFITM2	ID_28572	1
IFITM2	ID_28571	1
TBX20	ID_44914	1
TBX20	ID_44912	1
TBX20	ID_44913	1
TBX20	ID_44911	1
ZBED6CL	ID_57049	1
ZBED6CL	ID_57052	1
ZBED6CL	ID_57050	1
ZBED6CL	ID_57051	1
DMRTC1	ID_47207	1
DMRTC1	ID_47210	1
DMRTC1	ID_47208	1
DMRTC1	ID_47209	1
VWA2	ID_69245	1
VWA2	ID_69248	1
VWA2	ID_69246	1
VWA2	ID_69247	1
KIAA0232	ID_25944	1
KIAA0232	ID_25942	1
KIAA0232	ID_25941	1
KIAA0232	ID_25943	1
NUDT15	ID_42146	1
NUDT15	ID_42144	1
NUDT15	ID_42145	1
NUDT15	ID_42143	1
DEGS1	ID_22322	1
DEGS1	ID_22324	1
DEGS1	ID_22323	1
DEGS1	ID_22321	1
C1orf94	ID_54654	1
C1orf94	ID_54651	1
C1orf94	ID_54652	1
C1orf94	ID_54653	1
GABRD	ID_6774	1
GABRD	ID_6775	1
GABRD	ID_6776	1
GABRD	ID_6773	1
CCDC138	ID_63806	1
CCDC138	ID_63808	1
CCDC138	ID_63805	1
CCDC138	ID_63807	1
BANK1	ID_41354	1
BANK1	ID_41351	1
BANK1	ID_41353	1
BANK1	ID_41352	1
SSH1	ID_39912	1
SSH1	ID_39911	1
SSH1	ID_39913	1
SSH1	ID_39914	1
SLC18A1	ID_17664	1
SLC18A1	ID_17661	1
SLC18A1	ID_17663	1
SLC18A1	ID_17662	1
DNAJB13	ID_70283	1
DNAJB13	ID_70281	1
DNAJB13	ID_70282	1
DNAJB13	ID_70284	1
DCAF10	ID_49141	1
DCAF10	ID_49139	1
DCAF10	ID_49140	1
DCAF10	ID_49142	1
SDS	ID_29790	1
SDS	ID_29789	1
SDS	ID_29788	1
SDS	ID_29787	1
KIAA1715	ID_51449	1
KIAA1715	ID_51450	1
KIAA1715	ID_51447	1
KIAA1715	ID_51448	1
ZNF627	ID_64555	1
ZNF627	ID_64556	1
ZNF627	ID_64554	1
ZNF627	ID_64553	1
CIB1	ID_28349	1
CIB1	ID_28351	1
CIB1	ID_28350	1
CIB1	ID_28352	1
NEUROG2	ID_47237	1
NEUROG2	ID_47236	1
NEUROG2	ID_47238	1
NEUROG2	ID_47235	1
BAIAP2L2	ID_50717	1
BAIAP2L2	ID_50715	1
BAIAP2L2	ID_50716	1
BAIAP2L2	ID_50718	1
FBXO45	ID_64800	1
FBXO45	ID_64798	1
FBXO45	ID_64797	1
FBXO45	ID_64799	1
FBF1	ID_54794	1
FBF1	ID_54793	1
FBF1	ID_54791	1
FBF1	ID_54792	1
