Name,Smiles,Unaligned Pharm. Score,rmsd,Binding Affinity Score,Pharm. Score
ZINC72169919,n1ncn(c1)c5ncc(c4c2c([nH]cc2)nc(NC3CCCC3)c4)cc5,66.14,1.0560173,-17.38,86.03
ZINC13123354,s1c(ccc1)C(=O)Nc2nn4c(n2)NC(c3ccc(OC)cc3)CC4c5ccc(OC)cc5,86.2,0.9362792,-18.23,86.02
ZINC13123354,s1c(ccc1)C(=O)Nc2nn4c(n2)NC(c3ccc(OC)cc3)CC4c5ccc(OC)cc5,86.2,0.9362792,-17.74,86.02
ZINC66750380,Fc3c(ccc(OCc1nc(nc(n1)N)Nc2ccc(F)cc2)c3)C#N,-1.0,1.1752594,-11.71,86.01
ZINC02638281,Clc1ccc(cc1)C(=O)c3sc2n(c(=O)[nH]c(=O)c2c3N)c4ccc(cc4)C(=O)C,-1.0,0.9551547,-13.48,85.96
ZINC72143794,O=C(c4cnc(c3c1c([nH]cc1)nc(NCc2ccncc2)c3)cc4)C,86.33,0.8177548,-7.1,85.91
ZINC06941524,FC(F)Oc1ccc(cc1)C4n2nnnc2NC(c3ccccc3)C4,76.44,0.9360904,-8.07,85.9
ZINC72416767,ClCC(=O)Nc2nc(c1ccc([N+](=O)O)cc1)ccn2,-1.0,0.99290514,-7.41,85.83
ZINC93701721,S(=O)(=O)(N2CC(Cn1ncnc1CNCC)CCC2)C,65.99,1.0460892,-0.94,85.77
ZINC04716626,o1nc3c(n1)c(NCc2ccc(OC)cc2)cc(NCCCO)c3[N+](=O)O,76.38,0.8804717,-8.58,85.73
ZINC11847565,o1nc4c(n1)c(NCc3cc2OCOc2cc3)cc(NCCCO)c4[N+](=O)O,76.38,0.88719773,-12.64,85.72
ZINC11847565,o1nc4c(n1)c(NCc3cc2OCOc2cc3)cc(NCCCO)c4[N+](=O)O,-1.0,0.93470806,-4.1,85.72
ZINC72168663,O(c4nnc(c3c1c([nH]cc1)nc(NC2CCCC2)c3)cc4)CC,55.9,1.0585372,-12.09,85.72
ZINC11296914,Clc4cc(N(c1scc(n1)C=C(c2nc(nc(n2)N)Nc3ccccc3)C#N)C(=O)C)ccc4,-1.0,1.1279796,-25.61,85.7
ZINC15838189,O(c4ccc(c2nc(nc(c1ccc(cc1)C)c2)NC(=O)c3c(cccc3)C)cc4)C,75.99,0.9707391,-28.69,85.7
ZINC21792804,O(c3ccc(c2nc(nc(c1ccc(cc1)C)c2)NC(=O)CC(C)C)cc3)C,-1.0,0.95469874,-19.22,85.7
ZINC21525640,Clc4ccc(c2nc(nc(c1ccc(OC)cc1)c2)NC(=O)c3occc3)cc4,76.12,0.97006804,-26.93,85.69
ZINC04716627,o1nc3c(n1)c(NCc2ccc(cc2)C)cc(NCCCO)c3[N+](=O)O,76.38,0.88047945,-8.02,85.69
ZINC01266821,O(c1ccc(OC)cc1)Cc2nc(nc(n2)N)Nc3ccccc3,66.05,1.15025,-18.81,85.67
ZINC21525642,Clc3ccc(c2nc(nc(c1ccc(OC)cc1)c2)NC(=O)CC(C)C)cc3,-1.0,0.9547901,-21.6,85.65
ZINC11847565,o1nc4c(n1)c(NCc3cc2OCOc2cc3)cc(NCCCO)c4[N+](=O)O,76.41,0.8859689,-9.31,85.64
ZINC13940522,O(c4ccc(Nc1nc(nc(n1)Nc2ccc(OC)cc2)NN=CC=Cc3ccc(N(C)C)cc3)cc4)C,-1.0,0.8129657,-28.89,85.59
ZINC46016866,S(c3nn(c1nc(nc(n1)NCC)NC2CC2)cn3)CC(=O)OC,55.85,1.0744796,-4.63,85.59
ZINC08342215,O=[N+](O)c3ccc(OCc1nc(nc(n1)N)Nc2ccccc2)cc3,-1.0,1.1161294,-11.98,85.51
ZINC07371150,S(c1ncnc2c1cccc2)Cc3nc(nc(n3)N)Nc4ccccc4,-1.0,1.2356972,-17.14,85.46
ZINC09096621,S(c1n(nnn1)C)Cc2nc(nc(n2)N)Nc3cc(OC)ccc3,-1.0,1.0832553,8.47,85.46
ZINC09096621,S(c1n(nnn1)C)Cc2nc(nc(n2)N)Nc3cc(OC)ccc3,65.82,1.0543623,5.54,85.46
ZINC15838191,Fc1c(cccc1)C(=O)Nc3nc(c2ccc(OC)cc2)cc(n3)c4ccc(cc4)C,76.04,0.9692619,-29.27,85.37
ZINC07290045,S(c1oc(nn1)C2CC2)Cc3nc(nc(n3)N)Nc4ccccc4,65.71,1.0553752,-6.3,85.37
ZINC07290045,S(c1oc(nn1)C2CC2)Cc3nc(nc(n3)N)Nc4ccccc4,-1.0,1.0555706,-5.31,85.37
ZINC67009520,Clc3c(OCc1nc(nc(n1)N)Nc2ccc(F)cc2)ccc(c3)C=O,-1.0,1.2628915,-18.42,85.28
ZINC72481077,O(c3c(cc(c1nc(ncc1)NCc2ncccc2C)cc3)C(=O)O)CC,75.68,0.9481784,-17.81,84.78
ZINC72481077,O(c3c(cc(c1nc(ncc1)NCc2ncccc2C)cc3)C(=O)O)CC,-1.0,1.0263113,-20.27,84.78
ZINC72168947,n1(ncc4c1ccc(c3c2c([nH]cc2)nc(NCCN(C)C)c3)c4)C,-1.0,0.8423927,-15.72,76.93
ZINC72383434,s1c(ncc1)Nc2ncnc(c2)CC3CN(S(=O)(=O)C)CCC3,76.67,0.88460314,-9.93,76.91
ZINC36693910,S(=O)(=O)(c2ccc(c1oc(nn1)NC(=O)C(C)C)cc2)CC,86.17,0.95308256,-12.19,76.9
ZINC72123848,n1nnc([nH]1)c5ccc(c4c2c([nH]cc2)nc(NCc3cnccc3)c4)cc5,86.1,0.99244314,0.72,76.82
ZINC09814052,S(=O)(=O)(c2ccc(c1oc(nn1)NC(=O)C(C)C)cc2)C(C)C,86.17,0.95308256,-7.98,76.81
ZINC94986176,s3c1n(nc(n1)NC(=O)C2CC2)c(c3)c4ccc([N+](=O)O)cc4,-1.0,1.1377147,-10.43,76.75
ZINC72377474,O=C(N3CC(c1nc(ncc1)Nc2ncccc2)CCC3)C,76.65,0.87720704,-15.33,76.7
ZINC36693875,S(=O)(=O)(c3ccc(c1oc(nn1)NC(=O)c2ccc(cc2)C(=O)C)cc3)CC,86.05,0.992846,-4.29,76.67
ZINC72377475,O=C(N3CC(c1nc(ncc1)Nc2ncccc2)CCC3)C,76.57,0.95955974,-20.1,76.66
ZINC36693874,S(=O)(=O)(c3ccc(c1oc(nn1)NC(=O)c2ccc(cc2)C#N)cc3)CC,86.02,0.9916844,-6.26,76.64
ZINC72154000,n1nnc([nH]1)c5ccc(c4c2c([nH]cc2)nc(NCc3ncccc3)c4)cc5,-1.0,0.9868529,-7.02,76.64
ZINC72123848,n1nnc([nH]1)c5ccc(c4c2c([nH]cc2)nc(NCc3cnccc3)c4)cc5,-1.0,0.9899413,-13.54,76.64
ZINC05240672,S(=O)(=O)(c3ccc(c1oc(nn1)NC(=O)c2c(cc(cc2)C)C)cc3)C,-1.0,0.9231136,-11.17,76.59
ZINC05240628,S(=O)(=O)(c3ccc(c1oc(nn1)NC(=O)c2c(cccc2)C)cc3)C,-1.0,0.92298687,-9.59,76.59
ZINC10157165,Clc4ccc(n1[nH]c2nccc(c2c1=O)c3ccc(OC)cc3)cc4,65.91,0.9668276,-22.26,76.59
ZINC09814060,S(=O)(=O)(c2ccc(c1oc(nn1)NC(=O)C(C)(C)C)cc2)C(C)C,86.03,0.9921071,-8.24,76.59
ZINC36693912,S(=O)(=O)(c2ccc(c1oc(nn1)NC(=O)C(C)(C)C)cc2)CC,86.03,0.99194646,-7.86,76.59
ZINC10157185,O=c1n([nH]c2nccc(c12)c4cc3OCOc3cc4)c5cc(c(cc5)C)C,55.5,1.1331544,-32.97,76.58
ZINC02918161,Clc1ccc(cc1)C4Nc2n(nnn2)C(c3ccc(OC(F)F)cc3)C4,76.43,0.93617487,-6.24,76.55
ZINC15866274,FC(F)Oc1ccc(cc1)C4n2nnnc2NC(c3ccc(cc3)C)C4,76.43,0.9360718,-5.12,76.55
ZINC10157178,O=c1n([nH]c2nccc(c12)c4cc3OCOc3cc4)c5cc(ccc5)C,55.5,1.1350076,-33.87,76.55
ZINC01351334,O(c4ccc(c3nc1n(ncn1)c(NCC2CCCCC2)c3)cc4)C,66.3,0.86808836,-14.7,76.55
ZINC10157183,O=c1n([nH]c2nccc(c12)c3cc(OC)c(OC)cc3)c4cc(c(cc4)C)C,65.95,0.9677182,-23.75,76.54
ZINC09707669,Clc1sc(Cl)cc1C(=O)Nc2oc(nn2)c3ccc(S(=O)(=O)C)cc3,-1.0,0.93739563,-13.5,76.53
ZINC36693294,Brc1cc(c(Cl)cc1)C(=O)Nc2oc(nn2)c3ccc(S(=O)(=O)C)cc3,-1.0,0.9368077,-14.84,76.52
ZINC09346746,Clc1c(ccc(Cl)c1)C(=O)Nc2oc(nn2)c3ccc(S(=O)(=O)C)cc3,-1.0,0.93688464,-13.03,76.52
ZINC09346755,Clc1c(cc(Cl)cc1)C(=O)Nc2oc(nn2)c3ccc(S(=O)(=O)C)cc3,-1.0,0.93680817,-14.23,76.52
ZINC05240586,Clc1c(cccc1)C(=O)Nc2oc(nn2)c3ccc(S(=O)(=O)C)cc3,-1.0,0.9368026,-12.69,76.52
ZINC06941524,FC(F)Oc1ccc(cc1)C4n2nnnc2NC(c3ccccc3)C4,76.39,0.93606746,-6.62,76.52
ZINC09813792,Brc1ccc(cc1)C(=O)Nc2oc(nn2)c3ccc(S(=O)(=O)C(C)C)cc3,86.02,0.99297714,-8.62,76.51
ZINC36693858,S(=O)(=O)(c4ccc(c1oc(nn1)NC(=O)c3ccc(c2ccccc2)cc3)cc4)CC,86.02,0.9918619,-5.47,76.51
ZINC36693719,S(=O)(=O)(c4ccc(c1oc(nn1)NC(=O)Cc3cc2OCOc2cc3)cc4)C,85.83,0.98986983,-10.11,76.51
ZINC36693926,S(=O)(=O)(c3ccc(c1oc(nn1)NC(=O)c2ccc(N(C)C)cc2)cc3)CC,86.02,0.9927143,-6.34,76.51
ZINC05203554,S(=O)(=O)(c3ccc(c1oc(nn1)NC(=O)c2ccc(N(C)C)cc2)cc3)C,86.02,0.9929662,-5.19,76.51
ZINC09813729,S(=O)(=O)(c3ccc(c1oc(nn1)NC(=O)c2ccc(cc2)C)cc3)C(C)C,86.02,0.99305207,-7.42,76.51
ZINC02918170,FC(F)Oc1ccc(cc1)C4n2nnnc2NC(c3ccc(OC)cc3)C4,76.43,0.93609065,-14.67,76.5
ZINC72145495,O=C(O)c3ccc(c2c1c([nH]cc1)nc(NCCOC)c2)cc3,-1.0,1.0160196,-19.37,76.5
ZINC09813828,s1c(ccc1)C(=O)Nc2oc(nn2)c3ccc(S(=O)(=O)C(C)C)cc3,86.0,0.96994734,-5.0,76.48
ZINC12641430,n1c(nc(nc1N)C(C#N)=Cc2cc(ccc2)C#N)Nc3ccccc3,-1.0,1.258723,-14.68,76.46
ZINC36693913,S(=O)(=O)(c3ccc(c1oc(nn1)NC(=O)c2c(cccc2)C)cc3)CC,-1.0,0.9229867,-9.96,76.44
ZINC36693433,S(=O)(=O)(c4ccc(c1oc(nn1)NC(=O)Cc3ccc(c2ccccc2)cc3)cc4)C,85.81,0.99093264,-11.27,76.41
ZINC36693509,S(=O)(=O)(N(C)C)c2ccc(c1oc(nn1)NC(=O)C(C)(C)C)cc2,-1.0,0.99062866,-4.61,76.4
ZINC01088725,S(c2cc([N+](=O)O)cc(NC(=O)c1ccc(F)cc1)c2)CC(O)CO,75.31,1.1234766,-1.5,76.39
ZINC42381207,o1c(nnc1c3cc2OCCOc2cc3)NC(=O)Nc4ccccc4,85.56,1.0692575,-11.2,76.39
ZINC36693866,Clc1c(ccc(Cl)c1)C(=O)Nc2oc(nn2)c3ccc(S(=O)(=O)CC)cc3,-1.0,0.9369836,-13.9,76.37
ZINC36693853,Clc1c(cccc1)C(=O)Nc2oc(nn2)c3ccc(S(=O)(=O)CC)cc3,-1.0,0.93688005,-11.64,76.37
ZINC32541042,O(C(c3ccc(c1nc(nc(n1)N)Nc2ccc(cc2)C)cc3)C)C,76.27,0.78235286,-13.21,76.37
ZINC32541042,O(C(c3ccc(c1nc(nc(n1)N)Nc2ccc(cc2)C)cc3)C)C,-1.0,0.9842919,-19.26,76.37
ZINC06941524,FC(F)Oc1ccc(cc1)C4n2nnnc2NC(c3ccccc3)C4,76.19,0.9361336,-4.62,76.36
ZINC36693619,S(=O)(=O)(c3ccc(c1oc(nn1)NC(=O)Cc2c(cc(cc2)C)C)cc3)C,76.11,1.0291686,-1.4,76.35
ZINC72433095,Fc4c(OC)ccc(c3c1c([nH]cc1)nc(NCc2ccncc2)c3)c4,85.95,0.91795576,-25.49,76.35
ZINC20744634,O(c1ccc(cc1)CNc3nc2n(ncc2c(n3)NCCCO)C)C,-1.0,0.9014906,-15.87,76.34
ZINC11296745,O(c1cc(OC)cc(c1)C=C(c2nc(nc(n2)N)Nc3ccccc3)C#N)C,-1.0,1.0701027,-17.73,76.31
ZINC09292003,Clc1ccc(cc1)C6Nc2n(nc(n2)N3C(=O)C4C(C3=O)CC=CC4)C(c5ccc(OC)cc5)C6,75.73,1.0927451,-13.6,76.3
ZINC09292003,Clc1ccc(cc1)C6Nc2n(nc(n2)N3C(=O)C4C(C3=O)CC=CC4)C(c5ccc(OC)cc5)C6,76.44,0.93620163,-16.89,76.3
ZINC03647854,Clc1ccc(cc1)C5N=C2N(NC(=N2)NC(=O)c3sccc3)C(c4ccc(OC)cc4)C=5,-1.0,1.093279,-23.61,76.3
ZINC03647854,Clc1ccc(cc1)C5N=C2N(NC(=N2)NC(=O)c3sccc3)C(c4ccc(OC)cc4)C=5,-1.0,1.0855074,-23.6,76.3
ZINC11296413,O(c1c(OC)ccc(c1)C=C(c2nc(nc(n2)N)Nc3ccccc3)C#N)C,-1.0,1.0713986,-3.82,76.3
ZINC11296714,Clc1c(cc([N+](=O)O)cc1)C=C(c2nc(nc(n2)N)Nc3ccccc3)C#N,-1.0,1.0306108,-11.09,76.29
ZINC05240654,S(=O)(=O)(c3ccc(c1oc(nn1)NC(=O)Cc2ccccc2)cc3)C,85.74,0.99235636,-9.03,76.29
ZINC22135224,FC(F)Oc1c(OC)cc(cc1)C=C(c2nc(nc(n2)N)Nc3ccccc3)C#N,-1.0,1.0713985,-19.02,76.27
ZINC20899571,S(c2nn(c1nc(OC)nc(n1)NCC)cn2)CC(=O)OCC,-1.0,0.97566116,-3.15,76.27
ZINC36693207,Clc3ccc(OC(C(=O)Nc1oc(nn1)c2ccc(S(=O)(=O)C)cc2)(C)C)cc3,-1.0,0.9854885,-13.25,76.25
ZINC36693210,Clc3ccc(OC(C(=O)Nc1oc(nn1)c2ccc(S(=O)(=O)N(C)C)cc2)(C)C)cc3,-1.0,0.9840058,-15.35,76.24
ZINC36674889,Clc1c(c(F)ccc1)C(=O)Nc2oc(nn2)c3ccc(S(=O)(=O)CC)cc3,-1.0,0.9370524,-6.22,76.23
ZINC11847565,o1nc4c(n1)c(NCc3cc2OCOc2cc3)cc(NCCCO)c4[N+](=O)O,-1.0,0.8889967,-5.39,76.23
ZINC36693943,S(=O)(=O)(c3ccc(c1oc(nn1)NC(=O)c2c(cc(cc2)C)C)cc3)CC,-1.0,0.9231142,-3.62,76.23
ZINC36693919,S(=O)(=O)(c4ccc(c1oc(nn1)NC(=O)c2c3c(ccc2)cccc3)cc4)CC,-1.0,1.0174826,-6.26,76.22
ZINC11847565,o1nc4c(n1)c(NCc3cc2OCOc2cc3)cc(NCCCO)c4[N+](=O)O,-1.0,0.9394257,-1.21,76.21
ZINC11847565,o1nc4c(n1)c(NCc3cc2OCOc2cc3)cc(NCCCO)c4[N+](=O)O,-1.0,0.922612,-2.95,76.2
ZINC11296745,O(c1cc(OC)cc(c1)C=C(c2nc(nc(n2)N)Nc3ccccc3)C#N)C,-1.0,1.2279277,-15.41,76.17
ZINC36694054,Clc1c(ccc(F)c1)C(=O)Nc2oc(nn2)c3ccc(S(=O)(=O)CC)cc3,-1.0,0.9368908,-4.21,76.16
ZINC87203429,s2c(c1nc(ncc1)NCC)ccc2C#N,76.36,0.9692992,-26.06,76.16
ZINC21792808,Clc3ccc(c2nc(nc(c1ccc(OC)cc1)c2)NC(=O)C(C)C)cc3,76.25,0.9634658,-27.8,76.15
ZINC21792796,O(c3ccc(c2nc(nc(c1ccc(cc1)C)c2)NC(=O)C(C)C)cc3)C,76.25,0.96355706,-25.68,76.15
ZINC21792772,O(c3ccc(c2nc(nc(c1ccccc1)c2)NC(=O)C(C)C)cc3)C,76.25,0.96355695,-25.17,76.15
ZINC02367379,Clc1ccc(cc1)C=CC(=O)Nc2nn4c(n2)NC(c3ccccc3)CC4c5ccc(OC)cc5,-1.0,0.9361979,-23.93,76.14
ZINC02405532,Fc1ccc(cc1)C=CC(=O)Nc2nn4c(n2)NC(c3ccccc3)CC4c5ccc(OC)cc5,-1.0,0.9361979,-22.21,76.14
ZINC05307450,O(c1ccc(cc1)C4n2nc(nc2NC(c3ccccc3)C4)NC(=O)COC)C,-1.0,0.9361978,-13.12,76.14
ZINC04822004,O[n+]1n(nc([N+](=O)O)c1Nc2ccccc2)c4cc3OCCOc3cc4,66.59,0.8023775,-12.2,76.14
ZINC08826346,S(c1n(c(=O)c2c(n1)cccc2)C3CCCC3)Cc4nc(nc(n4)N)Nc5c(cccc5)C,-1.0,1.1006461,-13.03,76.12
ZINC36693693,S(=O)(=O)(c3ccc(c1oc(nn1)NC(=O)Cc2c(ccc(c2)C)C)cc3)C,76.1,1.029405,-8.72,76.07
ZINC04922827,O[n+]1n(nc([N+](=O)O)c1NCc2ccc(cc2)C)c4cc3OCCOc3cc4,76.03,0.96511066,-14.88,76.07
ZINC06730694,O=c3n(nc(Oc1nc(nc(n1)NC2CC2)N(C)C)cc3)c4ccccc4,-1.0,1.0210972,-24.2,76.07
ZINC12544244,S(c1oc(nn1)C2CC2)Cc3nc(nc(n3)N)Nc4c(cccc4)C,-1.0,1.0596544,-3.0,76.07
ZINC32541042,O(C(c3ccc(c1nc(nc(n1)N)Nc2ccc(cc2)C)cc3)C)C,75.96,0.9555954,-17.75,76.07
ZINC12371050,O=c2n(c(N)c(NC(=O)Nc1ccccc1)c(=O)[nH]2)c3ccc(OC)cc3,75.98,1.009982,-10.84,76.05
ZINC15670801,S(c2nn(c1nc(OC)nc(n1)NC)cn2)CC(=O)N,55.94,1.0815917,3.53,76.03
ZINC15670801,S(c2nn(c1nc(OC)nc(n1)NC)cn2)CC(=O)N,46.42,0.96070623,6.24,76.03
ZINC02794503,Clc4c(cc(OCc1oc(cc1)C(=O)Nc3nc(c2ccc(OC(F)F)cc2)ccn3)cc4)C,85.98,0.97005755,-13.64,76.01
ZINC04137795,s1c(nc2c1cc(F)cc2)Nc3oc(nn3)c4c(OC)cc(OC)cc4,-1.0,1.0187358,-9.84,76.0
ZINC04137795,s1c(nc2c1cc(F)cc2)Nc3oc(nn3)c4c(OC)cc(OC)cc4,85.65,1.0185157,-11.14,76.0
ZINC15315435,O(c1ccc(cc1)C#N)Cc2nc(nc(n2)N)Nc3c(cccc3)CC,-1.0,1.1758708,-9.32,75.99
