Name,Smiles,Unaligned Pharm. Score,rmsd,Binding Affinity Score,Pharm. Score
ZINC78789691,O=C(Nc1nn(cn1)Cc2ccc(cc2)C#N)NCc3cn(nc3)C,55.51,1.2663887,-6.18,64.89
ZINC78790044,O=C(Nc1nn(cn1)Cc2ccc(cc2)C#N)NCC3CC3,76.04,1.0193945,-8.42,64.89
ZINC78791135,O=C(Nc1nn(cn1)Cc2ccc(cc2)C#N)NC3CC3,75.73,1.0233829,-12.25,64.89
ZINC92071106,O=C(Nc1nn(cn1)Cc2ccc(cc2)C#N)NC3CC(N(C)C)CC3,65.81,1.089779,-3.06,64.88
ZINC78789623,O=C(Nc1nn(cn1)Cc2ccc(cc2)C#N)NC(C(CC)C)C,-1.0,0.97699887,-6.72,64.88
ZINC35671252,O(c4ccc(Nc3nn1c(nc(cc1C)C)c3NC(=O)c2ccccc2)cc4)C,-1.0,0.9249901,-22.7,64.87
ZINC78790975,O=C(Nc1nn(cn1)Cc2ccc(cc2)C#N)Nc3cc(ccc3)CC,75.77,1.099305,-9.09,64.86
ZINC78791014,O=C(Nc1nn(cn1)Cc2ccc(cc2)C#N)NC3C(C3)C,75.98,1.0002896,-5.07,64.85
ZINC06901596,O=C(c3cc2n1c(nnc1)c(nc2cc3)NC4CCCCC4)c5ccccc5,-1.0,1.0912198,-19.46,58.34
ZINC06901595,O=C(c3cc2n1c(nnc1)c(nc2cc3)NC4CCCC4)c5ccccc5,-1.0,1.0900346,-18.75,58.34
ZINC06901596,O=C(c3cc2n1c(nnc1)c(nc2cc3)NC4CCCCC4)c5ccccc5,-1.0,0.87471706,-23.56,57.38
ZINC02415361,O(c1cc(ccc1)C4Nc2n(nc(n2)N)C(c3ccc(OC)cc3)C4)C,66.32,0.93611264,-21.58,57.2
ZINC19742662,O(c4c(OC)cc(c1nc(nnc1)NCCC2C3CC(C2)C=C3)cc4OC)C,55.65,1.0399303,-15.46,57.19
ZINC06901585,Clc1c(cccc1)CNc3nc4c(n2c3nnc2)cc(cc4)C(=O)c5ccccc5,-1.0,1.0731742,-29.19,57.18
ZINC13132150,O(c1ccc(cc1)C4Nc2n(nc(n2)N)C(c3ccc(OC)cc3)C4)C,66.31,0.93639624,-21.6,57.18
ZINC13132150,O(c1ccc(cc1)C4Nc2n(nc(n2)N)C(c3ccc(OC)cc3)C4)C,66.31,0.93619484,-23.29,57.18
ZINC02371436,O(c1c(OC)ccc(c1)C4n2nc(nc2NC(c3ccccc3)C4)N)C,66.33,0.93543744,-23.89,57.14
ZINC02415361,O(c1cc(ccc1)C4Nc2n(nc(n2)N)C(c3ccc(OC)cc3)C4)C,66.3,0.93627936,-24.72,57.14
ZINC02415361,O(c1cc(ccc1)C4Nc2n(nc(n2)N)C(c3ccc(OC)cc3)C4)C,66.24,0.9362793,-23.21,57.13
ZINC01130991,Clc1c(cccc1)C5Nc2n(nc(n2)N)C(c4ccc(OCc3ccccc3)cc4)C5,66.29,0.93716925,-28.86,57.11
ZINC03642333,Brc1ccc(cc1)C5Nc2n(ncn2)C(c4ccc(OCc3ccccc3)cc4)C5,66.31,0.9361127,-29.66,57.07
ZINC03642335,O(c1ccc(cc1)C4n2ncnc2NC(c3ccc(cc3)CC)C4)Cc5ccccc5,66.31,0.93619484,-24.96,57.07
ZINC03642335,O(c1ccc(cc1)C4n2ncnc2NC(c3ccc(cc3)CC)C4)Cc5ccccc5,66.31,0.9362791,-24.64,57.07
ZINC02472304,O(c1ccc(cc1)C4n2nc(nc2NC(c3cc(OC)ccc3)C4)N)Cc5ccccc5,-1.0,0.93605834,-27.32,57.03
ZINC02870741,O(c1ccc(cc1)C4n2ncnc2NC(c3cc(c(cc3)C)C)C4)CC,66.21,0.9362798,-27.93,57.03
ZINC20899571,S(c2nn(c1nc(OC)nc(n1)NCC)cn2)CC(=O)OCC,-1.0,1.1697586,1.05,57.02
ZINC20796931,O(c4ccc(n2nc(Nc1cc(ccc1)C)c3c2CC(CC3=O)C)cc4)C,-1.0,0.891629,-28.07,57.0
ZINC02472333,O(c1ccc(cc1)C4n2nc(nc2NC(c3ccc(OCC)cc3)C4)N)Cc5ccccc5,66.31,0.93619454,-25.76,56.99
ZINC02472333,O(c1ccc(cc1)C4n2nc(nc2NC(c3ccc(OCC)cc3)C4)N)Cc5ccccc5,66.31,0.9362798,-26.68,56.99
ZINC02472333,O(c1ccc(cc1)C4n2nc(nc2NC(c3ccc(OCC)cc3)C4)N)Cc5ccccc5,66.31,0.9362794,-24.51,56.99
ZINC02472318,O(c1ccc(cc1)C4n2nc(nc2NC(c3ccc(OC)cc3)C4)N)Cc5ccccc5,66.31,0.9364705,-28.56,56.99
ZINC02472318,O(c1ccc(cc1)C4n2nc(nc2NC(c3ccc(OC)cc3)C4)N)Cc5ccccc5,66.31,0.93619484,-24.72,56.99
ZINC02472318,O(c1ccc(cc1)C4n2nc(nc2NC(c3ccc(OC)cc3)C4)N)Cc5ccccc5,66.31,0.93627924,-23.06,56.99
ZINC02472295,Fc1ccc(cc1)C5Nc2n(nc(n2)N)C(c4ccc(OCc3ccccc3)cc4)C5,66.31,0.9361748,-28.52,56.99
ZINC02472295,Fc1ccc(cc1)C5Nc2n(nc(n2)N)C(c4ccc(OCc3ccccc3)cc4)C5,-1.0,0.93646747,-29.31,56.99
ZINC20796890,Clc4cc(Nc1nn(c2c1C(=O)CC(C2)C)c3ccc(OC)cc3)ccc4,-1.0,0.8914638,-21.51,56.99
ZINC02472251,O(c1ccc(cc1)C4Nc2n(nc(n2)N)C(c3ccc(OCC)cc3)C4)CC,66.31,0.93628,-24.35,56.99
ZINC02393471,O(c1ccc(cc1)C4n2nc(nc2NC(c3ccc(OC)cc3)C4)N)CC,66.31,0.9362791,-24.24,56.99
ZINC02375252,O(c1ccc(cc1)C4Nc2n(nc(n2)N)C(c3ccc(OC)cc3)C4)CC,66.31,0.936396,-23.45,56.99
ZINC02375252,O(c1ccc(cc1)C4Nc2n(nc(n2)N)C(c3ccc(OC)cc3)C4)CC,66.31,0.9361944,-22.38,56.99
ZINC02375252,O(c1ccc(cc1)C4Nc2n(nc(n2)N)C(c3ccc(OC)cc3)C4)CC,66.31,0.9362801,-22.05,56.99
ZINC13131837,Fc1ccc(cc1)C4Nc2n(nc(n2)N)C(c3ccc(OCC)cc3)C4,66.31,0.9361752,-25.74,56.99
ZINC13131837,Fc1ccc(cc1)C4Nc2n(nc(n2)N)C(c3ccc(OCC)cc3)C4,66.31,0.93627614,-26.0,56.99
ZINC02472304,O(c1ccc(cc1)C4n2nc(nc2NC(c3cc(OC)ccc3)C4)N)Cc5ccccc5,66.3,0.9362791,-26.69,56.97
ZINC15866198,O(c1ccc(cc1)C4Nc2n(nnn2)C(c3ccc(OC)cc3)C4)C,66.3,0.9360671,-16.47,56.97
ZINC15866198,O(c1ccc(cc1)C4Nc2n(nnn2)C(c3ccc(OC)cc3)C4)C,66.3,0.93609065,-16.63,56.97
ZINC03055207,O1c2c(OC1)ccc(c2)C5n3ncnc3NC(c4ccccc4)C5,56.63,0.94140154,-28.65,56.96
ZINC13131776,O(c1ccc(cc1)C4n2nc(nc2NC(c3cc(OC)ccc3)C4)N)CC,66.26,0.9362792,-26.06,56.95
ZINC02472304,O(c1ccc(cc1)C4n2nc(nc2NC(c3cc(OC)ccc3)C4)N)Cc5ccccc5,66.24,0.9362795,-25.51,56.94
ZINC20796834,Clc4ccc(Nc1nn(c2c1C(=O)CC(C2)C)c3ccc(OC)cc3)cc4,-1.0,0.8916109,-25.1,56.94
ZINC13131776,O(c1ccc(cc1)C4n2nc(nc2NC(c3cc(OC)ccc3)C4)N)CC,66.24,0.9361948,-21.94,56.94
ZINC20796851,O(c4ccc(n2nc(Nc1ccc(cc1)C)c3c2CC(CC3=O)C)cc4)C,-1.0,0.891612,-23.83,56.94
ZINC20796851,O(c4ccc(n2nc(Nc1ccc(cc1)C)c3c2CC(CC3=O)C)cc4)C,-1.0,1.044101,-27.27,56.94
ZINC01130991,Clc1c(cccc1)C5Nc2n(nc(n2)N)C(c4ccc(OCc3ccccc3)cc4)C5,-1.0,0.93930763,-31.91,56.93
ZINC06901587,O=C(c3cc2n1c(nnc1)c(nc2cc3)NCC4N(CCC4)CC)c5ccccc5,-1.0,0.9596727,-27.04,56.91
ZINC06901581,O5C(CNc2nc3c(n1c2nnc1)cc(cc3)C(=O)c4ccccc4)CCC5,-1.0,1.0376925,-17.75,56.91
ZINC17722127,S(c1nncn1C)Cc2nc(nc(n2)N)Nc3c(OCC)cccc3,-1.0,1.0884087,-8.14,56.91
ZINC16290993,S(c1n(nnn1)C(C)(C)C)Cc2nc(nc(n2)N)Nc3ccccc3,-1.0,1.0795683,5.75,56.91
ZINC16290993,S(c1n(nnn1)C(C)(C)C)Cc2nc(nc(n2)N)Nc3ccccc3,-1.0,1.0611469,6.27,56.91
ZINC06668904,O1c2c(OC1)ccc(c2)C5n3nnnc3NC(c4ccc(OC)cc4)C5,56.64,0.9340621,-18.72,56.91
ZINC05005437,O[n+]1n(nc([N+](=O)O)c1NCCc2cc(ccc2)C)c4cc3OCCOc3cc4,75.91,0.88661355,-15.28,56.9
ZINC56230208,S(C(c1onc(n1)C)C)C(c2nc(nc(n2)N)Nc3ccccc3)C,75.95,1.0420638,-15.76,56.89
ZINC38575544,o1c(nnc1c2c(OC)cc(OC)cc2)NC(=O)c3c(oc(c3)C)C,-1.0,0.9708544,-17.08,56.89
ZINC15315435,O(c1ccc(cc1)C#N)Cc2nc(nc(n2)N)Nc3c(cccc3)CC,-1.0,1.1833383,-12.47,56.88
ZINC32576517,n1c(nc(nc1N)c2ccc(cc2)C#N)NCc3ccccc3,-1.0,1.1308036,-15.68,56.88
ZINC32576517,n1c(nc(nc1N)c2ccc(cc2)C#N)NCc3ccccc3,-1.0,1.1305337,-19.64,56.88
ZINC00803123,Clc1c(cccc1)C4Nc2n(nc(n2)N)C(c3cc(OC)c(OC)cc3)C4,-1.0,0.9019197,-22.58,56.85
ZINC00803123,Clc1c(cccc1)C4Nc2n(nc(n2)N)C(c3cc(OC)c(OC)cc3)C4,66.24,0.9381842,-26.1,56.85
ZINC01351331,s1c(ccc1)CNc4n2ncnc2nc(c3ccc(OC)cc3)c4,76.36,0.87305385,-27.1,56.84
ZINC00803137,Clc1c(Cl)ccc(c1)C4Nc2n(nc(n2)N)C(c3cc(OC)c(OC)cc3)C4,66.33,0.9353736,-16.31,56.83
ZINC20796890,Clc4cc(Nc1nn(c2c1C(=O)CC(C2)C)c3ccc(OC)cc3)ccc4,-1.0,0.89162874,-21.2,56.82
ZINC02744075,ClCCC(=O)Nc1cc(SCC(O)CO)cc([N+](=O)O)c1,65.95,0.99866647,-6.7,56.81
ZINC65147891,O=C(N3CC(c1nc(ncc1)Nc2ccccc2)CCC3)CC,66.31,0.8743099,-18.38,56.81
ZINC00803123,Clc1c(cccc1)C4Nc2n(nc(n2)N)C(c3cc(OC)c(OC)cc3)C4,66.29,0.9361995,-16.62,56.76
ZINC02487935,O(c1ccc(cc1)C4n2ncnc2NC(c3ccc(OCC)cc3)C4)Cc5ccccc5,66.31,0.9362796,-30.63,56.75
ZINC36805916,s3c(SCc1nc(nc(n1)N)Nc2c(cccc2)C)nnc3Nc4ccccc4,-1.0,1.1070006,-10.72,56.75
ZINC03389225,s3c(SCc1nc(nc(n1)N)Nc2c(cccc2)C)nnc3C,-1.0,1.1068395,-8.01,56.75
ZINC03413188,s3c(SCc1nc(nc(n1)N)Nc2c(cccc2)C)nnc3,-1.0,1.1068398,-6.59,56.75
ZINC65147892,O=C(N3CC(c1nc(ncc1)Nc2ccccc2)CCC3)CC,66.23,0.95632714,-20.59,56.75
ZINC94728316,O(c2ccc(c1nc(ncc1)NCCC)cc2)CC,75.85,0.9762934,-16.86,56.75
ZINC20796919,O(c4ccc(n2nc(Nc1ccc(cc1)CC)c3c2CC(CC3=O)C)cc4)C,-1.0,0.89161193,-17.26,56.74
ZINC39188281,O=[N+](O)c5ccc(Nc1nc(nc(n1)Nc2ccc(OC)cc2)NN=CC3=c4c(=NC3)cccc4)cc5,-1.0,0.81258553,-12.03,56.73
ZINC31672200,O=[N+](O)c1cn(c(=O)cc1)Cc2nc(nc(n2)N)Nc3ccccc3,55.99,0.8902622,-5.1,56.7
ZINC94729080,O(c2ccc(c1nc(ncc1)NCCC)cc2)C(C)C,75.85,0.97609377,-18.47,56.69
ZINC31679663,Fc4ccc(Nc1nc(nc(n1)COc2ccc(cc2)C(=O)c3ccccc3)N)cc4,-1.0,1.2564256,-12.25,56.67
ZINC20601635,s1c(ncc1CNc2nncc(n2)c3ccc(OC)cc3)c4ccccc4,55.92,0.94646305,-17.98,56.67
ZINC38508457,o1c(nnc1c2cc(OC)c(OC)cc2)NC(=O)c3nn(cc3C)C,-1.0,0.96069735,-7.24,56.67
ZINC11296879,O=[N+](O)c1ccc(cc1)COc2c(OC)cc(cc2)C=C(c3nc(nc(n3)N)Nc4ccccc4)C#N,-1.0,1.0714182,-11.78,56.66
ZINC11183408,O(c1c(OC)ccc(c1)C=C(c2nc(nc(n2)N)Nc3ccccc3)C#N)Cc4ccccc4,-1.0,1.0714183,-22.37,56.66
ZINC05372485,o1c(nnc1c2cc(OC)c(OC)cc2)NC(=O)Cc3c4c(ccc3)cccc4,65.77,1.0272198,-14.8,56.66
ZINC05372485,o1c(nnc1c2cc(OC)c(OC)cc2)NC(=O)Cc3c4c(ccc3)cccc4,55.5,1.1400665,-18.2,56.66
ZINC12543946,S(c1[nH]ncn1)Cc2nc(nc(n2)N)Nc3ccc(cc3)C,65.68,1.0563047,-3.18,56.65
ZINC59520104,O(c4ccc(c1nc(nc(n1)c2ccc(OC)cc2)NC3CCCC3)cc4)C,-1.0,1.0795991,-20.94,56.63
ZINC20908631,O1c5c(OC1)ccc(c2nc(nnc2)NC4c3c(cccc3)CC4)c5,56.08,0.9576618,-27.92,56.63
ZINC06831442,S(c1oc(nn1)c2occc2)Cc3nc(nc(n3)N)Nc4c(cccc4)C,-1.0,1.0590452,-10.25,56.62
ZINC91027526,S(Cc1nc(nc(n1)N)Nc2ccc(F)cc2)Cc3n(ncc3)C,-1.0,1.0385963,-12.15,56.62
ZINC37376042,O1c5c(OC1)ccc(c3nc(nc2nn(c(N)c23)C)NCC4CC4)c5,56.51,0.86423373,-16.16,56.62
ZINC37376042,O1c5c(OC1)ccc(c3nc(nc2nn(c(N)c23)C)NCC4CC4)c5,-1.0,0.9527157,-17.28,56.62
ZINC13123354,s1c(ccc1)C(=O)Nc2nn4c(n2)NC(c3ccc(OC)cc3)CC4c5ccc(OC)cc5,65.72,1.0840247,-26.04,56.61
ZINC13123354,s1c(ccc1)C(=O)Nc2nn4c(n2)NC(c3ccc(OC)cc3)CC4c5ccc(OC)cc5,66.31,0.93627936,-19.56,56.61
ZINC13123354,s1c(ccc1)C(=O)Nc2nn4c(n2)NC(c3ccc(OC)cc3)CC4c5ccc(OC)cc5,65.72,1.0840248,-26.05,56.61
ZINC13123354,s1c(ccc1)C(=O)Nc2nn4c(n2)NC(c3ccc(OC)cc3)CC4c5ccc(OC)cc5,66.31,0.9362797,-19.52,56.61
ZINC13127113,o1c(ccc1)C(=O)Nc2nn4c(n2)NC(c3ccc(OC)cc3)CC4c5ccc(OC)cc5,66.31,0.9361948,-17.83,56.61
ZINC13127113,o1c(ccc1)C(=O)Nc2nn4c(n2)NC(c3ccc(OC)cc3)CC4c5ccc(OC)cc5,65.72,1.0838863,-26.22,56.61
ZINC13127419,O(c1ccc(cc1)C4Nc2n(nc(n2)NC(=O)COC)C(c3ccc(OC)cc3)C4)C,66.31,0.9362794,-13.38,56.61
ZINC05562076,O(c1ccc(cc1)C4Nc2n(nc(n2)NC(=O)CCC)C(c3ccc(OC)cc3)C4)C,-1.0,0.93627936,-18.17,56.61
ZINC10745298,o1c(nnc1c2cc(OC)c(OC)cc2)NC(=O)Cc3c(cc(cc3C)C)C,-1.0,1.0146611,-15.47,56.61
ZINC10745298,o1c(nnc1c2cc(OC)c(OC)cc2)NC(=O)Cc3c(cc(cc3C)C)C,55.81,1.037319,-12.46,56.61
ZINC02368276,O=c3n2c(c1c(cc(OC)c(OC)c1)CC2)cc(n3)Nc4c(cc(cc4)C)C,65.95,1.0022105,-27.16,56.61
ZINC05372664,o1c(nnc1c2cc(OC)c(OC)cc2)NC(=O)Cc3c(cc(cc3)C)C,65.75,1.037455,-13.57,56.61
ZINC11717472,S(c1[nH]nc(n1)CC)Cc2nc(nc(n2)N)Nc3ccc(F)cc3,65.68,1.0554438,-2.41,56.61
ZINC05005437,O[n+]1n(nc([N+](=O)O)c1NCCc2cc(ccc2)C)c4cc3OCCOc3cc4,75.92,0.8870468,-12.46,56.6
ZINC05005455,O[n+]1n(nc([N+](=O)O)c1NCCc2cc(ccc2)C)c3ccc(OC)cc3,66.08,0.8876878,-17.26,56.6
ZINC05562076,O(c1ccc(cc1)C4Nc2n(nc(n2)NC(=O)CCC)C(c3ccc(OC)cc3)C4)C,-1.0,0.93627894,-31.81,56.59
ZINC05637483,S(c1n(nnn1)C)Cc2nc(nc(n2)N)Nc3c(cccc3)CC,55.89,1.0581708,2.21,56.58
ZINC05637483,S(c1n(nnn1)C)Cc2nc(nc(n2)N)Nc3c(cccc3)CC,-1.0,1.0874729,1.43,56.58
ZINC02471969,Fc1ccc(cc1)C5Nc2n(ncn2)C(c4ccc(OCc3ccccc3)cc4)C5,66.31,0.93605816,-24.54,56.57
ZINC00529674,Fc1ccc(cc1)C4Nc2n(ncn2)C(c3ccc(OCC)cc3)C4,66.31,0.93617547,-16.52,56.57
ZINC15671167,O(c4ccc(c2nc(nc(c1ccc(OC)cc1)c2)NC(=O)c3c(cccc3)C)cc4)C,76.0,0.96933013,-28.72,56.56
ZINC71795480,O=[N+](O)c3c(cc(OCc1nc(nc(n1)N)Nc2c(cccc2)CC)cc3)C,-1.0,1.2455921,-7.31,56.56
ZINC02191142,s3c(SCc1nc(nc(n1)N)Nc2cc(ccc2)C)nnc3N,-1.0,1.1034626,-3.42,56.55
ZINC09701445,o1c(nnc1c3cc2OCOc2cc3)NC(=O)C4CCCCC4,55.91,0.91755736,-22.59,56.55
ZINC72443523,O=[N+](O)c3ccc(c1nc(ncc1)Nc2ccc(cc2)C)cc3,-1.0,1.124647,-16.9,56.55
ZINC36652469,o1c(nnc1c3cc2OCOc2cc3)NC(=O)C4CCCC4,55.85,0.93210155,-21.76,56.55
ZINC04400121,o1c(=O)ccc4c1cc(OCc2nc(nc(n2)N)Nc3c(cccc3)C)cc4,-1.0,1.151346,-16.79,56.54
ZINC05005456,O[n+]1n(nc([N+](=O)O)c1NCCc2ccc(cc2)C)c3ccc(OC)cc3,65.86,0.92484796,-26.95,56.54
ZINC14226642,Clc3ccc(Nc1nc(nc(n1)CSc2nncn2C)N)cc3,-1.0,1.0853788,-3.72,56.53
ZINC36652515,o1c(nnc1Cc3cc2OCOc2cc3)NC(=O)C4CCCC4,56.03,0.9951176,-16.86,56.53
ZINC09701543,o1c(nnc1c3cc2OCOc2cc3)NC(=O)CCC,46.21,0.9896474,-19.76,56.53
ZINC36805719,Clc4ccc(c3oc(SCc1nc(nc(n1)N)Nc2c(cccc2)C)nn3)cc4,-1.0,1.0626515,-12.18,56.52
ZINC36832738,S(c1oc(nn1)c2ccc(cc2)C)Cc3nc(nc(n3)N)Nc4c(cccc4)C,-1.0,1.0625318,-10.16,56.52
ZINC07372292,S(c2cc1OCCCOc1cc2)Cc3nc(nc(n3)N)Nc4ccccc4,66.33,1.0737113,-6.84,56.51
ZINC07372292,S(c2cc1OCCCOc1cc2)Cc3nc(nc(n3)N)Nc4ccccc4,56.27,1.0730019,-7.48,56.51
ZINC05702390,S(c1nnc(n1C)c2occc2)Cc3nc(nc(n3)N)Nc4ccccc4,-1.0,1.0857198,-9.5,56.51
ZINC72416778,ClCC(=O)Nc3nc2c1c(cc(OC)c(OC)c1)Cc2cn3,56.0,0.8936204,-15.96,56.51
ZINC12637172,S(C(c1nc(nc(n1)N)Nc2ccccc2)C)CCOc3c(cccc3)C,55.61,1.0784638,-23.93,56.5
ZINC09701923,o1c(nnc1Cc3cc2OCOc2cc3)NC(=O)CC,56.09,0.9929408,-13.02,56.5
ZINC09701740,o1c(nnc1Cc3cc2OCOc2cc3)NC(=O)C,55.86,1.0746822,-13.6,56.5
ZINC13940522,O(c4ccc(Nc1nc(nc(n1)Nc2ccc(OC)cc2)NN=CC=Cc3ccc(N(C)C)cc3)cc4)C,65.73,0.9551554,-17.52,56.48
ZINC02749300,S(c3cc([N+](=O)O)cc(NC(=O)c2cc1OCOc1cc2)c3)CC(O)CO,65.95,0.9265885,3.32,56.47
ZINC02915501,Clc1ccc(cc1)C4Nc2n(nnn2)C(c3cc(OC)c(OCC)cc3)C4,66.31,0.93571335,-17.07,56.46
ZINC02915359,Clc1c(ccc(Cl)c1)C4N2NN=NC2=NC(c3ccc(OC)cc3)C4,-1.0,1.154382,-20.29,56.46
ZINC01609269,O(c4ccc(n2c1ncnc(N)c1c(c2)c3ccc(OC)cc3)cc4)C,56.46,0.81645215,-27.57,56.46
ZINC15838210,Clc1cc(ccc1)C(=O)Nc3nc(c2ccc(OC)cc2)cc(n3)c4ccc(OC)cc4,76.04,0.96924525,-29.9,56.45
ZINC06668904,O1c2c(OC1)ccc(c2)C5n3nnnc3NC(c4ccc(OC)cc4)C5,56.6,0.9411629,-8.47,56.44
ZINC06668904,O1c2c(OC1)ccc(c2)C5n3nnnc3NC(c4ccc(OC)cc4)C5,56.6,0.9411626,-12.26,56.44
ZINC12557359,O(c1c(OC)cc(cc1)C#N)Cc2nc(nc(n2)N)Nc3ccc(cc3)C,-1.0,1.2179368,-1.4,56.43
ZINC04684932,Clc1nc(nc(n1)NCCCCCC)Nc2ccc([N+](=O)O)cc2,45.78,1.1933326,-26.23,56.43
ZINC13655539,o1c(nnc1c2cc(OC)c(OC)cc2)NC(=O)c3n(ncc3)C,-1.0,0.9595124,-20.24,56.43
ZINC06745606,O(c3ccc(Nc2nc(c1ccc(cc1)C#N)ccn2)cc3)C,75.91,1.0254252,-12.88,56.43
ZINC06745606,O(c3ccc(Nc2nc(c1ccc(cc1)C#N)ccn2)cc3)C,75.91,1.0260972,-13.46,56.43
ZINC06745606,O(c3ccc(Nc2nc(c1ccc(cc1)C#N)ccn2)cc3)C,75.91,1.026272,-12.24,56.43
ZINC06745606,O(c3ccc(Nc2nc(c1ccc(cc1)C#N)ccn2)cc3)C,75.91,1.0254238,-13.16,56.43
ZINC03379441,o1c(nnc1CNC(C)C)c2ccc([N+](=O)O)cc2,-1.0,1.1398956,-4.02,56.43
ZINC06901583,O5C(CNc2nc3c(n1c2nnc1)cc(cc3)C(=O)c4ccccc4)CCC5,-1.0,0.98713714,-19.08,56.41
ZINC02916258,O(c1c(OC)ccc(c1)C4n2ncnc2NC(c3cc(OC)ccc3)C4)C,66.32,0.9352712,-17.56,56.4
ZINC02916258,O(c1c(OC)ccc(c1)C4n2ncnc2NC(c3cc(OC)ccc3)C4)C,-1.0,0.9352169,-22.31,56.4
ZINC27188166,S(Cc1nc(nc(n1)N)Nc2ccccc2)CCC(=O)N,66.07,0.94720423,-2.57,56.4
ZINC01573466,o1c(nnc1c3cc2OCOc2cc3)Nc4ccccc4,56.06,0.98733497,-17.74,56.4
ZINC02220697,O(c1ccc(cc1)C4n2ncnc2NC(c3ccc(OC)cc3)C4)CC,66.31,0.9363962,-15.16,56.39
ZINC16226438,Brc3cc(F)c(Nc1[n+](O)n(nc1[N+](=O)O)c2ccc(OC)cc2)cc3,66.31,0.8872625,-9.62,56.38
ZINC04885666,O=C(c3cc2n1c(nnc1)c(nc2cc3)NCc4ccc(cc4)C)c5ccccc5,-1.0,1.0717607,-30.15,56.38
ZINC01115075,O(c1c(OC)ccc(c1)C4n2ncnc2NC(c3ccc(OC)cc3)C4)C,66.31,0.9353532,-14.98,56.38
ZINC01115075,O(c1c(OC)ccc(c1)C4n2ncnc2NC(c3ccc(OC)cc3)C4)C,66.31,0.9354383,-16.94,56.38
ZINC02760486,S(c1cc([N+](=O)O)cc(NC(=O)C)c1)CC(O)CO,55.71,0.8444991,7.53,56.38
ZINC02434806,O(c3cc2c([nH]c1c(ncnc12)NCC=C)cc3)C,65.99,0.9583426,-17.2,56.38
ZINC10096096,o1c(nnc1c2cc(OC)c(OC)c(OC)c2)NC(=O)Cc3ccc(cc3)C(C)C,85.16,1.0594586,-12.81,56.37
ZINC05169556,o1c(nnc1c2cc(OC)c(OC)c(OC)c2)NC(=O)Cc3ccccc3,85.1,1.0593845,-10.48,56.37
ZINC09701926,o1c(nnc1Cc3cc2OCOc2cc3)NC(=O)CCCC,56.0,0.972912,-15.55,56.37
ZINC02765105,Brc1oc(cc1)C(=O)Nc2cc(SCC(O)CO)cc([N+](=O)O)c2,65.8,0.90076584,-9.57,56.35
ZINC21525647,o1c(ccc1)C(=O)Nc3nc(c2ccc(OC)cc2)cc(n3)c4ccc(OC)cc4,76.12,0.97054213,-28.13,56.35
ZINC17206629,O(c1ccc(OC)cc1)Cc2nc(nc(n2)N)Nc3ccc(cc3)C,66.11,1.0769337,-8.15,56.35
ZINC60386578,o1c(=O)cc(c4c1cc(OCc2nc(nc(n2)N)Nc3c(cccc3)C)cc4)CC,-1.0,1.1510502,-16.4,56.34
ZINC31680283,Fc4ccc(Nc1nc(nc(n1)COc3cc2oc(=O)cc(c2cc3)C)N)cc4,-1.0,1.1500574,-11.59,56.34
ZINC10687839,S(=O)(=O)(Cc1ccccc1)CCCC(=O)Nc2oc(nn2)c4cc3OCCOc3cc4,85.65,0.9521003,-14.49,56.33
ZINC12373563,O(c3c(c1nc(nnc1)NCc2nn(c(c2)C)C)ccc(OC)c3)C,65.83,0.94345516,-9.57,56.33
ZINC01573466,o1c(nnc1c3cc2OCOc2cc3)Nc4ccccc4,56.0,0.9853606,-20.91,56.33
ZINC71854688,S(Cc1nc(nc(n1)N)Nc2ccccc2)CCC(=O)N4c3c(cccc3)CC4,65.97,0.9847041,-15.93,56.32
ZINC10157181,O=c1n([nH]c2nccc(c12)c3ccc(OC)cc3)c4cc(c(cc4)C)C,65.66,1.1214887,-21.8,56.32
ZINC10157181,O=c1n([nH]c2nccc(c12)c3ccc(OC)cc3)c4cc(c(cc4)C)C,65.54,1.0376158,-17.51,56.32
ZINC10157181,O=c1n([nH]c2nccc(c12)c3ccc(OC)cc3)c4cc(c(cc4)C)C,65.79,0.966812,-17.95,56.32
ZINC27188616,S(Cc1nc(nc(n1)N)Nc2ccc(F)cc2)CCC(=O)N,66.01,0.9469702,-4.26,56.31
ZINC40018212,Clc2ccc(Nc1nc(nc(n1)CSCCC(=O)OC)N)cc2,65.99,0.9540173,-5.84,56.3
ZINC94729360,O(c2cc(c(c1nc(ncc1C)NCCC)cc2)C)C,66.05,0.9888236,-24.93,56.3
ZINC16581893,Clc1n(c2c(=O)n(c(=O)n(c2n1)C)C)Cc3nc(nc(n3)N)Nc4ccc(F)cc4,-1.0,1.0251874,-3.45,56.29
ZINC16581893,Clc1n(c2c(=O)n(c(=O)n(c2n1)C)C)Cc3nc(nc(n3)N)Nc4ccc(F)cc4,-1.0,1.1890371,-2.04,56.29
ZINC12903389,Fc3ccc(Nc1nc(nc(n1)COc2c(OC)cc(cc2)C#N)N)cc3,-1.0,1.1770277,-8.5,56.29
ZINC65147909,s1c(ccc1)C(=O)N4CC(c2nc(ncc2)Nc3ccccc3)CCC4,-1.0,1.1042657,-34.72,56.29
ZINC65147909,s1c(ccc1)C(=O)N4CC(c2nc(ncc2)Nc3ccccc3)CCC4,-1.0,1.1042659,-34.38,56.29
