id,smiles
70072,S(CC)c1ccc(CC(=O)Nc2c(C(=O)N)ccs2)cc1
70073,O=C(N1CCC(c2[nH]c3nccnc3c2)CC1)c1cc2nc(C(C)C)[nH]c2cc1
70074,O=C(Nc1ccc(NC2=C(C)C(C)=Nc3n2ncn3)cc1)C
70075,O=C([O-])[C@@H]1CN(c2cc(NC(=O)c3cc(C)ccc3)ccc2)C(=O)C1
70076,O=C(N)CCN(C(=O)c1[nH]nc(-c2cc(OC)ccc2)c1)C
70077,O=C([O-])c1nnn(C[C@H]2CN(c3nc(C(C)C)on3)CCC2)c1
70078,O=C([O-])c1ncn(-c2ccc(C(=O)Nc3scc(C)n3)cc2)c1
70079,S(c1c(C(=O)[O-])cccc1)c1ccc(NC(=O)C)cc1
70080,Fc1c(NC(=O)CC[C@@H]2CN(C(=O)NCc3occc3)CCC2)cccc1
70081,O=[N+]([O-])C1=C(Nc2ccc(OCC)cc2)CS(=O)(=O)C1
70082,O=[N+]([O-])C1=C(Nc2ccc(-c3ccccc3)cc2)CS(=O)(=O)C1
70083,O=C(Oc1cc(C(=O)Nc2c(C(=O)N)cccc2)ccc1)C
70084,Clc1cc(Cl)cc(NC(=S)NCc2ccncc2)c1
70085,Clc1c(F)ccc(NC(=O)CSc2n[nH]nc2)c1
70086,S=C(NCc1n(C)ncc1)Nc1cc(C(F)(F)F)ccc1
70087,S=C(Nc1c(C(=O)N)n(C)nc1)Nc1cc([N+](=O)[O-])ccc1
70088,S(CC(=O)Nc1ccc(NC(=O)C)cc1)C1=C(C#N)[C@H](c2c(F)cccc2)CC(=O)N1
70089,S=C(NCc1cnccc1)Nc1cc(C(F)(F)F)ccc1
70090,Fc1ccc(-n2c3NC(=O)C[C@H](c4cc(OC)c(OCC(=O)N)cc4)c3nc2)cc1
70091,Clc1cc(NC(=S)NCc2ccncc2)ccc1
70092,O=C(Nc1c(C(=O)N)nn(C)c1)Nc1cc(C)cc(C)c1
70093,FC(F)(F)c1cc(NC(=O)Nc2c(C(=O)N)n(CC)nc2)ccc1
70094,Fc1c(C(=O)N[C@@H](CC(=O)[O-])c2ccc(OC3CCCC3)cc2)cccc1
