SMILES,NAME,FILTER,MW,LogP,HBD,HBA,TPSA,Rot
O=C(O)c4ccc(c3c1c([nH]cc1)nc(NCc2ncccc2)c3)cc4,ZINC72478754,OK,344.374,3.935200000000002,3,4,90.89999999999999,5.0
O(c1ccc(cc1)[C@H]4n2nc(nc2N[C@@H](c3ccccc3)C4)NC(=O)C(C)C)C,ZINC02411297,OK,391.4750000000002,4.0275000000000025,2,6,81.07,5.0
O=C(c3cnc(c2c1c([nH]cc1)nc(NCCN(C)C)c2)cc3)C,ZINC72148699,OK,323.40000000000003,2.801000000000001,2,5,73.91,6.0
s1c(ccc1)C(=O)Nc2nn4c(n2)N[C@@H](c3ccccc3)C[C@H]4c5ccc(OC)cc5,ZINC12468572,OK,431.5210000000002,4.746800000000003,2,7,81.07000000000001,5.0
Clc3cc(Nc1nc(nc(n1)COc2ccc(OC)cc2)N)c(OC)cc3,ZINC08559705,OK,387.8270000000001,3.447000000000001,2,8,104.41000000000001,7.0
o1nc3c(n1)c(NCc2ccc(OC)cc2)cc(NCCCO)c3N(=O)O,ZINC04716626,INVALID,-999.0,-999.0,-999,-999,-999.0,
Clc3cc(NC(=O)Nc1c(=O)[nH]c(=O)n(c1N)c2ccc(OC)cc2)ccc3,ZINC12371049,OK,401.8100000000001,2.4139999999999997,4,6,131.24,4.0
O(c1c(OC)cc(cc1)\C=C(\c2nc(nc(n2)N)Nc3ccccc3)/C#N)C(C)C,ZINC11183414,OK,402.45800000000014,4.057380000000002,2,8,118.97,7.0
O(c1c(OC)ccc(c1)\C=C(\c2nc(nc(n2)N)Nc3ccccc3)/C#N)C,ZINC11296413,OK,374.4040000000001,3.278780000000001,2,8,118.97,6.0
O(c1cc(ccc1)\C=C(\c2nc(nc(n2)N)Nc3ccccc3)/C#N)C,ZINC11296441,OK,344.37800000000004,3.2701800000000008,2,7,109.74000000000001,5.0
Clc4c(N(=O)O)cc(Nc3c(N(=O)O)c1nonc1c(Nc2cc(O)ccc2)c3)c(Cl)c4,ZINC09008444,INVALID,-999.0,-999.0,-999,-999,-999.0,
S(=O)(=O)(c3ccc(c1nc(nc(n1)N)Nc2ccc(cc2)C)cc3)C,ZINC32573440,OK,355.42300000000006,2.576320000000001,2,7,110.86,4.0
n1ncn(c1)c5ncc(c4c2c([nH]cc2)nc(NC3CCCC3)c4)cc5,ZINC72169919,OK,345.4100000000002,3.560100000000002,2,6,84.31,4.0
s1c(ccc1)C(=O)Nc2nn4c(n2)N[C@@H](c3ccc(OC)cc3)C[C@H]4c5ccc(OC)cc5,ZINC13123354,OK,461.54700000000025,4.7554000000000025,2,8,90.30000000000001,6.0
s1c(ccc1)C(=O)Nc2nn4c(n2)N[C@@H](c3ccc(OC)cc3)C[C@H]4c5ccc(OC)cc5,ZINC13123354,OK,461.54700000000025,4.7554000000000025,2,8,90.30000000000001,6.0
Fc3c(ccc(OCc1nc(nc(n1)N)Nc2ccc(F)cc2)c3)C#N,ZINC66750380,OK,354.32000000000005,2.926280000000001,2,7,109.74000000000001,5.0
Clc1ccc(cc1)C(=O)c3sc2n(c(=O)[nH]c(=O)c2c3N)c4ccc(cc4)C(=O)C,ZINC02638281,OK,439.8800000000002,3.409700000000001,2,7,115.02000000000001,4.0
O=C(c4cnc(c3c1c([nH]cc1)nc(NCc2ccncc2)c3)cc4)C,ZINC72143794,OK,343.39000000000004,3.834600000000002,2,5,83.56,5.0
FC(F)Oc1ccc(cc1)[C@H]4n2nnnc2N[C@@H](c3ccccc3)C4,ZINC06941524,OK,343.3370000000001,3.4208000000000007,1,6,64.86,4.0
ClCC(=O)Nc2nc(c1ccc(N(=O)O)cc1)ccn2,ZINC72416767,INVALID,-999.0,-999.0,-999,-999,-999.0,
S(=O)(=O)(N2C[C@H](Cn1ncnc1CNCC)CCC2)C,ZINC93701721,OK,301.4160000000001,0.059200000000000585,1,6,80.12,6.0
o1nc3c(n1)c(NCc2ccc(OC)cc2)cc(NCCCO)c3N(=O)O,ZINC04716626,INVALID,-999.0,-999.0,-999,-999,-999.0,
o1nc4c(n1)c(NCc3cc2OCOc2cc3)cc(NCCCO)c4N(=O)O,ZINC11847565,INVALID,-999.0,-999.0,-999,-999,-999.0,
o1nc4c(n1)c(NCc3cc2OCOc2cc3)cc(NCCCO)c4N(=O)O,ZINC11847565,INVALID,-999.0,-999.0,-999,-999,-999.0,
O(c4nnc(c3c1c([nH]cc1)nc(NC2CCCC2)c3)cc4)CC,ZINC72168663,OK,323.40000000000003,3.773100000000003,2,5,75.72,5.0
Clc4cc(N(c1scc(n1)\C=C(\c2nc(nc(n2)N)Nc3ccccc3)/C#N)C(=O)C)ccc4,ZINC11296914,OK,488.9640000000002,5.056080000000004,2,9,133.71,6.0
O(c4ccc(c2nc(nc(c1ccc(cc1)C)c2)NC(=O)c3c(cccc3)C)cc4)C,ZINC15838189,OK,409.4890000000002,5.6883400000000055,1,4,64.11000000000001,5.0
O(c3ccc(c2nc(nc(c1ccc(cc1)C)c2)NC(=O)CC(C)C)cc3)C,ZINC21792804,OK,375.4720000000002,5.112220000000004,1,4,64.11000000000001,6.0
Clc4ccc(c2nc(nc(c1ccc(OC)cc1)c2)NC(=O)c3occc3)cc4,ZINC21525640,OK,405.84100000000007,5.317900000000003,1,5,77.25000000000001,5.0
o1nc3c(n1)c(NCc2ccc(cc2)C)cc(NCCCO)c3N(=O)O,ZINC04716627,INVALID,-999.0,-999.0,-999,-999,-999.0,
O(c1ccc(OC)cc1)Cc2nc(nc(n2)N)Nc3ccccc3,ZINC01266821,OK,323.35600000000005,2.785,2,7,95.18,6.0
Clc3ccc(c2nc(nc(c1ccc(OC)cc1)c2)NC(=O)CC(C)C)cc3,ZINC21525642,OK,395.8900000000001,5.457200000000004,1,4,64.11000000000001,6.0
o1nc4c(n1)c(NCc3cc2OCOc2cc3)cc(NCCCO)c4N(=O)O,ZINC11847565,INVALID,-999.0,-999.0,-999,-999,-999.0,
O(c4ccc(Nc1nc(nc(n1)Nc2ccc(OC)cc2)NN=C\C=C\c3ccc(N(C)C)cc3)cc4)C,ZINC13940522,Filter39_imine > 0,510.6020000000002,5.553100000000004,3,10,108.82,11.0
S(c3nn(c1nc(nc(n1)NCC)NC2CC2)cn3)CC(=O)OC,ZINC46016866,OK,350.40800000000013,0.7234999999999996,2,11,119.74,8.0
O=N(O)c3ccc(OCc1nc(nc(n1)N)Nc2ccccc2)cc3,ZINC08342215,INVALID,-999.0,-999.0,-999,-999,-999.0,
S(c1ncnc2c1cccc2)Cc3nc(nc(n3)N)Nc4ccccc4,ZINC07371150,OK,361.434,3.4329,2,8,102.5,5.0
S(c1n(nnn1)C)Cc2nc(nc(n2)N)Nc3cc(OC)ccc3,ZINC09096621,OK,345.3920000000001,1.0217999999999994,2,11,129.54999999999998,6.0
S(c1n(nnn1)C)Cc2nc(nc(n2)N)Nc3cc(OC)ccc3,ZINC09096621,OK,345.3920000000001,1.0217999999999994,2,11,129.54999999999998,6.0
Fc1c(cccc1)C(=O)Nc3nc(c2ccc(OC)cc2)cc(n3)c4ccc(cc4)C,ZINC15838191,OK,413.4520000000001,5.519020000000004,1,4,64.11,5.0
S(c1oc(nn1)C2CC2)Cc3nc(nc(n3)N)Nc4ccccc4,ZINC07290045,OK,341.40000000000003,2.7501000000000007,2,9,115.64,6.0
S(c1oc(nn1)C2CC2)Cc3nc(nc(n3)N)Nc4ccccc4,ZINC07290045,OK,341.40000000000003,2.7501000000000007,2,9,115.64,6.0
Clc3c(OCc1nc(nc(n1)N)Nc2ccc(F)cc2)ccc(c3)C=O,ZINC67009520,Filter38_aldehyde > 0,373.7750000000001,3.381400000000001,2,7,103.02000000000001,6.0
