Name,Smiles,Unaligned Pharm. Score,CNNaffinity,CNNaffinity_variance,rmsd,Binding Affinity Score,CNNscore,CNN_VS,Pharm. Score,minimizedAffinity
ZINC02411297,O(c1ccc(cc1)C4n2nc(nc2NC(c3ccccc3)C4)NC(=O)C(C)C)C,-1.0,6.990747,0.11800327,0.93619794,-16.88,0.7817781,5.465213,86.4,-7.35606
ZINC72148699,O=C(c3cnc(c2c1c([nH]cc1)nc(NCCN(C)C)c2)cc3)C,-1.0,6.9733033,0.048068505,0.9806059,-7.52,0.99374694,6.929699,86.36,-9.10949
ZINC12468572,s1c(ccc1)C(=O)Nc2nn4c(n2)NC(c3ccccc3)CC4c5ccc(OC)cc5,86.21,6.6751914,0.13228603,0.9361979,-25.26,0.51782566,3.4565854,86.34,-5.10899
ZINC08559705,Clc3cc(Nc1nc(nc(n1)COc2ccc(OC)cc2)N)c(OC)cc3,-1.0,7.2310686,0.101983264,1.152792,-19.11,0.979476,7.082658,86.2,-8.38895
ZINC04716626,o1nc3c(n1)c(NCc2ccc(OC)cc2)cc(NCCCO)c3N(=O)O,-1.0,6.614721,0.20643774,0.9236353,-5.79,0.80237985,5.3075185,86.18,-7.85823
ZINC12371049,Clc3cc(NC(=O)Nc1c(=O)[nH]c(=O)n(c1N)c2ccc(OC)cc2)ccc3,76.09,6.675017,0.2322218,1.009953,-14.09,0.62721014,4.1866384,86.13,-8.23094
ZINC11183414,O(c1c(OC)cc(cc1)C=C(c2nc(nc(n2)N)Nc3ccccc3)C#N)C(C)C,65.76,7.206951,0.20120151,1.2300314,-6.94,0.944707,6.808457,86.07,-8.30963
ZINC11296413,O(c1c(OC)ccc(c1)C=C(c2nc(nc(n2)N)Nc3ccccc3)C#N)C,65.76,7.0946145,0.1575262,1.2300317,-8.46,0.9365287,6.64431,86.07,-8.18818
ZINC11296441,O(c1cc(ccc1)C=C(c2nc(nc(n2)N)Nc3ccccc3)C#N)C,85.67,6.9803443,0.1740041,1.0702711,-23.64,0.9503098,6.6334896,86.06,-8.86188
ZINC09008444,Clc4c(N(=O)O)cc(Nc3c(N(=O)O)c1nonc1c(Nc2cc(O)ccc2)c3)c(Cl)c4,-1.0,6.9296837,0.4245718,1.0831325,-1.88,0.6566493,4.5503716,86.04,-8.93343
ZINC32573440,S(=O)(=O)(c3ccc(c1nc(nc(n1)N)Nc2ccc(cc2)C)cc3)C,85.5,6.693479,0.09348287,1.1106573,-12.82,0.96365106,6.450178,86.04,-8.69246
ZINC72169919,n1ncn(c1)c5ncc(c4c2c([nH]cc2)nc(NC3CCCC3)c4)cc5,66.14,7.342082,0.0728699,1.0560173,-17.38,0.9888787,7.260429,86.03,-9.91649
ZINC13123354,s1c(ccc1)C(=O)Nc2nn4c(n2)NC(c3ccc(OC)cc3)CC4c5ccc(OC)cc5,86.2,7.205176,0.12725158,0.9362792,-18.23,0.68138415,4.9094925,86.02,-6.98827
